Section,Analysis,Model,Organ,Pollutant,N candidates,Adverse events,HR (95% CI),P value,Adjustment set
Pollution-organ severity associations,Baseline organ severity association,Pollution exposure as predictor of baseline organ severity,Kidney,Prior-year NO2 per 10 ppb,601017,NA,Mean difference 0.03 (0.02-0.05),<.001,age + sex + race + zcta_svi_proxy + listing_center
Pollution-organ severity associations,Baseline organ severity association,Pollution exposure as predictor of baseline organ severity,Liver,Prior-year PM2.5 per 5 ug/m3,208809,NA,Mean difference -0.94 (-1.04--0.84),<.001,age + sex + race + zcta_svi_proxy + listing_center
Pollution-organ severity associations,Baseline organ severity association,Pollution exposure as predictor of baseline organ severity,Liver,Prior-year O3 per 10 ppb,208809,NA,Mean difference -0.10 (-0.23-0.02),0.114,age + sex + race + zcta_svi_proxy + listing_center
Pollution-organ severity associations,Baseline organ severity association,Pollution exposure as predictor of baseline organ severity,Liver,Prior-year NO2 per 10 ppb,222811,NA,Mean difference -1.04 (-1.11--0.96),<.001,age + sex + race + zcta_svi_proxy + listing_center
Pollution-organ severity associations,Baseline organ severity association,Pollution exposure as predictor of baseline organ severity,Heart,Prior-year PM2.5 per 5 ug/m3,74084,NA,Mean difference -0.60 (-0.62--0.58),<.001,age + sex + race + zcta_svi_proxy + listing_center
Pollution-organ severity associations,Baseline organ severity association,Pollution exposure as predictor of baseline organ severity,Heart,Prior-year O3 per 10 ppb,74084,NA,Mean difference -0.06 (-0.09--0.03),<.001,age + sex + race + zcta_svi_proxy + listing_center
Pollution-organ severity associations,Baseline organ severity association,Pollution exposure as predictor of baseline organ severity,Heart,Prior-year NO2 per 10 ppb,79446,NA,Mean difference -0.67 (-0.68--0.65),<.001,age + sex + race + zcta_svi_proxy + listing_center
Pollution-organ severity associations,Baseline organ severity association,Pollution exposure as predictor of baseline organ severity,Lung,Prior-year PM2.5 per 5 ug/m3,46810,NA,Mean difference -0.67 (-0.70--0.65),<.001,age + sex + race + zcta_svi_proxy + listing_center
Pollution-organ severity associations,Baseline organ severity association,Pollution exposure as predictor of baseline organ severity,Lung,Prior-year O3 per 10 ppb,46810,NA,Mean difference -0.19 (-0.22--0.16),<.001,age + sex + race + zcta_svi_proxy + listing_center
Pollution-organ severity associations,Baseline organ severity association,Pollution exposure as predictor of baseline organ severity,Lung,Prior-year NO2 per 10 ppb,50431,NA,Mean difference -0.53 (-0.54--0.51),<.001,age + sex + race + zcta_svi_proxy + listing_center
Pollution-organ severity associations,Time-updated organ severity association,Pollution exposure as predictor of time-updated organ severity,Heart,Monthly PM2.5 per 5 ug/m3,76760,NA,Mean difference -0.05 (-0.06--0.05),<.001,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
Pollution-organ severity associations,Time-updated organ severity association,Pollution exposure as predictor of time-updated organ severity,Kidney,Monthly PM2.5 per 5 ug/m3,592129,NA,Mean difference -0.64 (-0.64--0.64),<.001,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
Pollution-organ severity associations,Time-updated organ severity association,Pollution exposure as predictor of time-updated organ severity,Liver,Monthly PM2.5 per 5 ug/m3,218837,NA,Mean difference 0.05 (0.03-0.06),<.001,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
Pollution-organ severity associations,Time-updated organ severity association,Pollution exposure as predictor of time-updated organ severity,Lung,Monthly PM2.5 per 5 ug/m3,48311,NA,Mean difference 0.02 (0.02-0.03),<.001,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
Pollution-organ severity associations,Time-updated organ severity association,Pollution exposure as predictor of time-updated organ severity,Heart,Monthly O3 per 10 ppb,76760,NA,Mean difference -0.01 (-0.01--0.01),<.001,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
Pollution-organ severity associations,Time-updated organ severity association,Pollution exposure as predictor of time-updated organ severity,Kidney,Monthly O3 per 10 ppb,592129,NA,Mean difference 0.00 (0.00-0.01),<.001,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
Pollution-organ severity associations,Time-updated organ severity association,Pollution exposure as predictor of time-updated organ severity,Liver,Monthly O3 per 10 ppb,218837,NA,Mean difference -0.01 (-0.02--0.01),<.001,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
Pollution-organ severity associations,Time-updated organ severity association,Pollution exposure as predictor of time-updated organ severity,Lung,Monthly O3 per 10 ppb,48311,NA,Mean difference 0.00 (0.00-0.01),0.013,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
Pollution-organ severity associations,Time-updated organ severity association,Pollution exposure as predictor of time-updated organ severity,Heart,Monthly NO2 per 10 ppb,82122,NA,Mean difference -0.07 (-0.08--0.06),<.001,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
Pollution-organ severity associations,Time-updated organ severity association,Pollution exposure as predictor of time-updated organ severity,Kidney,Monthly NO2 per 10 ppb,628132,NA,Mean difference -1.48 (-1.48--1.47),<.001,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
Pollution-organ severity associations,Time-updated organ severity association,Pollution exposure as predictor of time-updated organ severity,Liver,Monthly NO2 per 10 ppb,232844,NA,Mean difference 0.18 (0.17-0.20),<.001,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
Pollution-organ severity associations,Time-updated organ severity association,Pollution exposure as predictor of time-updated organ severity,Lung,Monthly NO2 per 10 ppb,51932,NA,Mean difference 0.05 (0.04-0.06),<.001,age + sex + race + listing_year + zcta_svi_proxy + listing_center fixed effects
