time,survival,std_error,n_risk,n_event,n_censor,strata,quartile,pollutant,pollutant_label,unit_label,organ,adverse_probability,survival_percent,adverse_probability_percent
1,0.7951919587114795,0.006491511260600567,1754,1020,7074,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Lung,0.20480804128852048,79.51919587114796,20.48080412885205
3,0.6505046459295094,0.011199463276368995,513,200,1041,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Lung,0.3494953540704906,65.05046459295095,34.94953540704906
5,0.5507441250470541,0.01571875380079627,205,58,250,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Lung,0.44925587495294594,55.07441250470541,44.92558749529459
10,0.4086629610189691,0.03240427412271585,25,26,154,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Lung,0.5913370389810308,40.86629610189691,59.133703898103086
1,0.8119871993325176,0.0056345177364206635,2254,1153,8733,quartile=Q2,Q2,o3,O[3],ppb,Lung,0.18801280066748238,81.19871993325177,18.801280066748237
3,0.6613585743560707,0.010003382702414078,690,263,1301,quartile=Q2,Q2,o3,O[3],ppb,Lung,0.3386414256439293,66.13585743560706,33.86414256439293
5,0.5673924068164697,0.013636130863581213,302,71,317,quartile=Q2,Q2,o3,O[3],ppb,Lung,0.43260759318353026,56.739240681646976,43.260759318353024
10,0.4257498966992156,0.023881425423500746,43,41,218,quartile=Q2,Q2,o3,O[3],ppb,Lung,0.5742501033007844,42.57498966992156,57.42501033007844
1,0.8254937883657085,0.005605894098861489,2067,1017,8429,quartile=Q3,Q3,o3,O[3],ppb,Lung,0.17450621163429147,82.54937883657085,17.450621163429147
3,0.6653908120093193,0.01031410875077471,659,268,1140,quartile=Q3,Q3,o3,O[3],ppb,Lung,0.33460918799068073,66.53908120093193,33.460918799068075
5,0.56165252503931,0.014206682796934706,274,77,308,quartile=Q3,Q3,o3,O[3],ppb,Lung,0.43834747496069004,56.165252503930994,43.834747496069006
10,0.4036008216648036,0.023650879706885897,46,47,181,quartile=Q3,Q3,o3,O[3],ppb,Lung,0.5963991783351964,40.36008216648036,59.63991783351964
1,0.8059043217052942,0.006267560135674208,1807,1016,8525,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Lung,0.19409567829470575,80.59043217052943,19.409567829470575
3,0.6374106690210677,0.011475928462549303,520,237,1050,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Lung,0.3625893309789323,63.741066902106766,36.258933097893234
5,0.5419359304728776,0.015247687273808909,212,60,248,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Lung,0.4580640695271224,54.193593047287756,45.806406952712244
10,0.3683642689127738,0.032169074337227,28,32,152,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Lung,0.6316357310872263,36.83642689127738,63.16357310872262
1,0.8283881804079123,0.005446273817130321,2116,1073,9852,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],µg/m³,Lung,0.1716118195920877,82.83881804079122,17.161181959208772
3,0.6879989128588093,0.010123511356661835,612,225,1279,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],µg/m³,Lung,0.3120010871411907,68.79989128588093,31.200108714119068
5,0.5901081520719417,0.01436921458288985,284,66,262,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],µg/m³,Lung,0.40989184792805833,59.01081520719417,40.98918479280583
10,0.4311052196715455,0.030386361462640534,34,33,217,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],µg/m³,Lung,0.5688947803284545,43.110521967154554,56.88947803284545
1,0.8204288157387098,0.0059529012524729705,1895,982,8485,quartile=Q2,Q2,pm25,PM[2.5],µg/m³,Lung,0.17957118426129015,82.04288157387099,17.957118426129014
3,0.6662848976756223,0.010883610012022071,581,227,1087,quartile=Q2,Q2,pm25,PM[2.5],µg/m³,Lung,0.33371510232437773,66.62848976756223,33.37151023243777
5,0.5853195030462203,0.014346457672560693,248,53,280,quartile=Q2,Q2,pm25,PM[2.5],µg/m³,Lung,0.41468049695377973,58.53195030462203,41.46804969537797
10,0.44163458114263476,0.02593743123315285,45,35,168,quartile=Q2,Q2,pm25,PM[2.5],µg/m³,Lung,0.5583654188573652,44.16345811426348,55.83654188573652
1,0.801836043763658,0.006272323226268407,1901,1009,7198,quartile=Q3,Q3,pm25,PM[2.5],µg/m³,Lung,0.19816395623634198,80.1836043763658,19.816395623634197
3,0.6552476988008917,0.010601260312222336,614,227,1060,quartile=Q3,Q3,pm25,PM[2.5],µg/m³,Lung,0.34475230119910827,65.52476988008917,34.475230119910826
5,0.5702918011985582,0.013994103831298498,256,60,298,quartile=Q3,Q3,pm25,PM[2.5],µg/m³,Lung,0.42970819880144184,57.029180119855816,42.970819880144184
10,0.4241722995648217,0.02430479510591497,43,39,174,quartile=Q3,Q3,pm25,PM[2.5],µg/m³,Lung,0.5758277004351783,42.417229956482174,57.582770043517826
1,0.7882102743484732,0.006258890267514374,1970,1142,7226,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],µg/m³,Lung,0.21178972565152676,78.82102743484732,21.178972565152677
3,0.6075806516653262,0.011057346047714717,575,289,1106,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],µg/m³,Lung,0.39241934833467385,60.75806516653262,39.24193483346738
5,0.4790670018852131,0.015539116286818568,205,87,283,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],µg/m³,Lung,0.5209329981147869,47.90670018852131,52.09329981147869
10,0.30605289816143466,0.029728578898570942,20,39,146,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],µg/m³,Lung,0.6939471018385653,30.605289816143465,69.39471018385653
