pollutant,pollutant_label,organ,quartile,time,at_risk,censored,label
o3,O[3],Liver,Q2,9,279,41862,"279
41862"
o3,O[3],Liver,Q2,10,184,41940,"184
41940"
o3,O[3],Liver,Q3,0,51284,0,"51284
0"
o3,O[3],Liver,Q3,0.25,28603,19355,"28603
19355"
o3,O[3],Liver,Q3,0.5,21859,24792,"21859
24792"
o3,O[3],Liver,Q3,0.75,16911,28829,"16911
28829"
o3,O[3],Liver,Q3,1,13685,31359,"13685
31359"
o3,O[3],Liver,Q3,1.5,9717,34490,"9717
34490"
o3,O[3],Liver,Q3,2,7251,36415,"7251
36415"
o3,O[3],Liver,Q3,2.5,5599,37682,"5599
37682"
o3,O[3],Liver,Q3,3,4421,38564,"4421
38564"
o3,O[3],Liver,Q3,4,2896,39697,"2896
39697"
o3,O[3],Liver,Q3,5,1930,40413,"1930
40413"
o3,O[3],Liver,Q3,6,1300,40902,"1300
40902"
o3,O[3],Liver,Q3,7,884,41216,"884
41216"
o3,O[3],Liver,Q3,8,588,41446,"588
41446"
o3,O[3],Liver,Q3,9,376,41612,"376
41612"
o3,O[3],Liver,Q3,10,241,41723,"241
41723"
o3,O[3],Liver,Q4 highest,0,59558,0,"59558
0"
o3,O[3],Liver,Q4 highest,0.25,32932,22460,"32932
22460"
o3,O[3],Liver,Q4 highest,0.5,25214,28563,"25214
28563"
o3,O[3],Liver,Q4 highest,0.75,19843,32932,"19843
32932"
o3,O[3],Liver,Q4 highest,1,16274,35733,"16274
35733"
o3,O[3],Liver,Q4 highest,1.5,11732,39216,"11732
39216"
o3,O[3],Liver,Q4 highest,2,8917,41382,"8917
41382"
o3,O[3],Liver,Q4 highest,2.5,7027,42760,"7027
42760"
o3,O[3],Liver,Q4 highest,3,5612,43801,"5612
43801"
o3,O[3],Liver,Q4 highest,4,3662,45258,"3662
45258"
o3,O[3],Liver,Q4 highest,5,2378,46163,"2378
46163"
o3,O[3],Liver,Q4 highest,6,1551,46806,"1551
46806"
o3,O[3],Liver,Q4 highest,7,1013,47208,"1013
47208"
o3,O[3],Liver,Q4 highest,8,681,47450,"681
47450"
o3,O[3],Liver,Q4 highest,9,424,47649,"424
47649"
o3,O[3],Liver,Q4 highest,10,247,47793,"247
47793"
o3,O[3],Lung,Q1 lowest,0,10794,0,"10794
0"
o3,O[3],Lung,Q1 lowest,0.25,4428,5652,"4428
5652"
o3,O[3],Lung,Q1 lowest,0.5,2916,6978,"2916
6978"
o3,O[3],Lung,Q1 lowest,0.75,2074,7690,"2074
7690"
o3,O[3],Lung,Q1 lowest,1,1507,8167,"1507
8167"
o3,O[3],Lung,Q1 lowest,1.5,920,8663,"920
8663"
o3,O[3],Lung,Q1 lowest,2,602,8931,"602
8931"
o3,O[3],Lung,Q1 lowest,2.5,389,9109,"389
9109"
o3,O[3],Lung,Q1 lowest,3,263,9217,"263
9217"
o3,O[3],Lung,Q1 lowest,4,129,9324,"129
9324"
o3,O[3],Lung,Q1 lowest,5,64,9380,"64
9380"
o3,O[3],Lung,Q1 lowest,6,31,9405,"31
9405"
o3,O[3],Lung,Q1 lowest,7,13,9421,"13
9421"
o3,O[3],Lung,Q1 lowest,8,7,9427,"7
9427"
o3,O[3],Lung,Q1 lowest,9,4,9430,"4
9430"
o3,O[3],Lung,Q1 lowest,10,3,9431,"3
9431"
o3,O[3],Lung,Q2,0,12245,0,"12245
0"
o3,O[3],Lung,Q2,0.25,5077,6399,"5077
6399"
o3,O[3],Lung,Q2,0.5,3319,7936,"3319
7936"
o3,O[3],Lung,Q2,0.75,2403,8720,"2403
8720"
o3,O[3],Lung,Q2,1,1823,9208,"1823
9208"
o3,O[3],Lung,Q2,1.5,1166,9763,"1166
9763"
o3,O[3],Lung,Q2,2,755,10104,"755
10104"
o3,O[3],Lung,Q2,2.5,508,10315,"508
10315"
o3,O[3],Lung,Q2,3,341,10444,"341
10444"
o3,O[3],Lung,Q2,4,192,10563,"192
10563"
o3,O[3],Lung,Q2,5,105,10629,"105
10629"
o3,O[3],Lung,Q2,6,63,10664,"63
10664"
o3,O[3],Lung,Q2,7,35,10687,"35
10687"
o3,O[3],Lung,Q2,8,19,10699,"19
10699"
o3,O[3],Lung,Q2,9,10,10707,"10
10707"
o3,O[3],Lung,Q2,10,5,10712,"5
10712"
o3,O[3],Lung,Q3,0,11598,0,"11598
0"
o3,O[3],Lung,Q3,0.25,4599,6278,"4599
6278"
o3,O[3],Lung,Q3,0.5,3003,7696,"3003
7696"
o3,O[3],Lung,Q3,0.75,2143,8449,"2143
8449"
o3,O[3],Lung,Q3,1,1618,8903,"1618
8903"
o3,O[3],Lung,Q3,1.5,1036,9376,"1036
9376"
o3,O[3],Lung,Q3,2,684,9664,"684
9664"
o3,O[3],Lung,Q3,2.5,457,9853,"457
9853"
o3,O[3],Lung,Q3,3,325,9957,"325
9957"
o3,O[3],Lung,Q3,4,145,10102,"145
10102"
o3,O[3],Lung,Q3,5,79,10157,"79
10157"
o3,O[3],Lung,Q3,6,45,10183,"45
10183"
o3,O[3],Lung,Q3,7,26,10198,"26
10198"
o3,O[3],Lung,Q3,8,15,10203,"15
10203"
o3,O[3],Lung,Q3,9,7,10210,"7
10210"
o3,O[3],Lung,Q3,10,3,10213,"3
10213"
o3,O[3],Lung,Q4 highest,0,11995,0,"11995
0"
o3,O[3],Lung,Q4 highest,0.25,4478,6797,"4478
6797"
o3,O[3],Lung,Q4 highest,0.5,2813,8281,"2813
8281"
o3,O[3],Lung,Q4 highest,0.75,1950,9014,"1950
9014"
o3,O[3],Lung,Q4 highest,1,1440,9449,"1440
9449"
o3,O[3],Lung,Q4 highest,1.5,872,9935,"872
9935"
o3,O[3],Lung,Q4 highest,2,558,10188,"558
10188"
o3,O[3],Lung,Q4 highest,2.5,372,10337,"372
10337"
o3,O[3],Lung,Q4 highest,3,259,10427,"259
10427"
o3,O[3],Lung,Q4 highest,4,142,10523,"142
10523"
o3,O[3],Lung,Q4 highest,5,70,10586,"70
10586"
o3,O[3],Lung,Q4 highest,6,38,10610,"38
10610"
o3,O[3],Lung,Q4 highest,7,20,10625,"20
10625"
o3,O[3],Lung,Q4 highest,8,12,10633,"12
10633"
o3,O[3],Lung,Q4 highest,9,5,10636,"5
10636"
o3,O[3],Lung,Q4 highest,10,3,10637,"3
10637"
pm25,PM[2.5],Heart,Q1 lowest,0,20462,0,"20462
0"
pm25,PM[2.5],Heart,Q1 lowest,0.25,10415,8910,"10415
8910"
pm25,PM[2.5],Heart,Q1 lowest,0.5,7657,11320,"7657
11320"
pm25,PM[2.5],Heart,Q1 lowest,0.75,6063,12731,"6063
12731"
pm25,PM[2.5],Heart,Q1 lowest,1,4892,13752,"4892
13752"
pm25,PM[2.5],Heart,Q1 lowest,1.5,3457,15003,"3457
15003"
pm25,PM[2.5],Heart,Q1 lowest,2,2491,15818,"2491
15818"
pm25,PM[2.5],Heart,Q1 lowest,2.5,1810,16396,"1810
16396"
pm25,PM[2.5],Heart,Q1 lowest,3,1341,16788,"1341
16788"
pm25,PM[2.5],Heart,Q1 lowest,4,769,17251,"769
17251"
pm25,PM[2.5],Heart,Q1 lowest,5,429,17527,"429
17527"
pm25,PM[2.5],Heart,Q1 lowest,6,240,17689,"240
17689"
pm25,PM[2.5],Heart,Q1 lowest,7,138,17775,"138
17775"
pm25,PM[2.5],Heart,Q1 lowest,8,78,17827,"78
17827"
pm25,PM[2.5],Heart,Q1 lowest,9,40,17860,"40
17860"
pm25,PM[2.5],Heart,Q1 lowest,10,21,17878,"21
17878"
pm25,PM[2.5],Heart,Q2,0,18144,0,"18144
0"
pm25,PM[2.5],Heart,Q2,0.25,9343,7745,"9343
7745"
pm25,PM[2.5],Heart,Q2,0.5,6841,9939,"6841
9939"
pm25,PM[2.5],Heart,Q2,0.75,5445,11162,"5445
11162"
pm25,PM[2.5],Heart,Q2,1,4419,12059,"4419
12059"
pm25,PM[2.5],Heart,Q2,1.5,3047,13232,"3047
13232"
pm25,PM[2.5],Heart,Q2,2,2174,13973,"2174
13973"
pm25,PM[2.5],Heart,Q2,2.5,1586,14468,"1586
14468"
pm25,PM[2.5],Heart,Q2,3,1183,14810,"1183
14810"
pm25,PM[2.5],Heart,Q2,4,649,15255,"649
15255"
pm25,PM[2.5],Heart,Q2,5,364,15505,"364
15505"
pm25,PM[2.5],Heart,Q2,6,196,15651,"196
15651"
pm25,PM[2.5],Heart,Q2,7,117,15724,"117
15724"
pm25,PM[2.5],Heart,Q2,8,70,15768,"70
15768"
pm25,PM[2.5],Heart,Q2,9,43,15787,"43
15787"
pm25,PM[2.5],Heart,Q2,10,21,15807,"21
15807"
pm25,PM[2.5],Heart,Q3,0,16762,0,"16762
0"
pm25,PM[2.5],Heart,Q3,0.25,8657,7091,"8657
7091"
pm25,PM[2.5],Heart,Q3,0.5,6343,9083,"6343
9083"
pm25,PM[2.5],Heart,Q3,0.75,4961,10274,"4961
10274"
pm25,PM[2.5],Heart,Q3,1,4029,11080,"4029
11080"
pm25,PM[2.5],Heart,Q3,1.5,2817,12130,"2817
12130"
pm25,PM[2.5],Heart,Q3,2,2011,12819,"2011
12819"
pm25,PM[2.5],Heart,Q3,2.5,1468,13276,"1468
13276"
pm25,PM[2.5],Heart,Q3,3,1087,13597,"1087
13597"
pm25,PM[2.5],Heart,Q3,4,619,13975,"619
13975"
pm25,PM[2.5],Heart,Q3,5,351,14185,"351
14185"
pm25,PM[2.5],Heart,Q3,6,207,14306,"207
14306"
pm25,PM[2.5],Heart,Q3,7,124,14373,"124
14373"
pm25,PM[2.5],Heart,Q3,8,71,14422,"71
14422"
pm25,PM[2.5],Heart,Q3,9,42,14446,"42
14446"
pm25,PM[2.5],Heart,Q3,10,24,14463,"24
14463"
pm25,PM[2.5],Heart,Q4 highest,0,17942,0,"17942
0"
pm25,PM[2.5],Heart,Q4 highest,0.25,8155,8429,"8155
8429"
pm25,PM[2.5],Heart,Q4 highest,0.5,5612,10627,"5612
10627"
pm25,PM[2.5],Heart,Q4 highest,0.75,4145,11894,"4145
11894"
pm25,PM[2.5],Heart,Q4 highest,1,3198,12705,"3198
12705"
pm25,PM[2.5],Heart,Q4 highest,1.5,2087,13640,"2087
13640"
pm25,PM[2.5],Heart,Q4 highest,2,1453,14175,"1453
14175"
pm25,PM[2.5],Heart,Q4 highest,2.5,1003,14544,"1003
14544"
pm25,PM[2.5],Heart,Q4 highest,3,708,14780,"708
14780"
pm25,PM[2.5],Heart,Q4 highest,4,384,15016,"384
15016"
pm25,PM[2.5],Heart,Q4 highest,5,208,15154,"208
15154"
pm25,PM[2.5],Heart,Q4 highest,6,108,15237,"108
15237"
pm25,PM[2.5],Heart,Q4 highest,7,69,15270,"69
15270"
pm25,PM[2.5],Heart,Q4 highest,8,33,15302,"33
15302"
pm25,PM[2.5],Heart,Q4 highest,9,23,15307,"23
15307"
pm25,PM[2.5],Heart,Q4 highest,10,16,15314,"16
15314"
pm25,PM[2.5],Kidney,Q1 lowest,0,162172,0,"162172
0"
pm25,PM[2.5],Kidney,Q1 lowest,0.25,151093,10048,"151093
10048"
pm25,PM[2.5],Kidney,Q1 lowest,0.5,142767,17691,"142767
17691"
pm25,PM[2.5],Kidney,Q1 lowest,0.75,134812,24973,"134812
24973"
pm25,PM[2.5],Kidney,Q1 lowest,1,127340,31652,"127340
31652"
pm25,PM[2.5],Kidney,Q1 lowest,1.5,112968,44277,"112968
44277"
pm25,PM[2.5],Kidney,Q1 lowest,2,99566,55650,"99566
55650"
pm25,PM[2.5],Kidney,Q1 lowest,2.5,86217,66688,"86217
66688"
pm25,PM[2.5],Kidney,Q1 lowest,3,73593,76897,"73593
76897"
pm25,PM[2.5],Kidney,Q1 lowest,4,51378,94630,"51378
94630"
pm25,PM[2.5],Kidney,Q1 lowest,5,33048,109284,"33048
109284"
pm25,PM[2.5],Kidney,Q1 lowest,6,20130,119536,"20130
119536"
pm25,PM[2.5],Kidney,Q1 lowest,7,11655,126196,"11655
126196"
pm25,PM[2.5],Kidney,Q1 lowest,8,6739,130124,"6739
130124"
pm25,PM[2.5],Kidney,Q1 lowest,9,3870,132403,"3870
132403"
pm25,PM[2.5],Kidney,Q1 lowest,10,2193,133722,"2193
133722"
pm25,PM[2.5],Kidney,Q2,0,175890,0,"175890
0"
pm25,PM[2.5],Kidney,Q2,0.25,164489,10446,"164489
10446"
pm25,PM[2.5],Kidney,Q2,0.5,156125,18174,"156125
18174"
pm25,PM[2.5],Kidney,Q2,0.75,148235,25358,"148235
25358"
pm25,PM[2.5],Kidney,Q2,1,140693,32153,"140693
32153"
pm25,PM[2.5],Kidney,Q2,1.5,126137,45046,"126137
45046"
pm25,PM[2.5],Kidney,Q2,2,111653,57625,"111653
57625"
pm25,PM[2.5],Kidney,Q2,2.5,97855,69367,"97855
69367"
pm25,PM[2.5],Kidney,Q2,3,84749,80312,"84749
80312"
pm25,PM[2.5],Kidney,Q2,4,61771,99053,"61771
99053"
pm25,PM[2.5],Kidney,Q2,5,42624,114397,"42624
114397"
pm25,PM[2.5],Kidney,Q2,6,27902,126169,"27902
126169"
pm25,PM[2.5],Kidney,Q2,7,17487,134411,"17487
134411"
pm25,PM[2.5],Kidney,Q2,8,10805,139747,"10805
139747"
pm25,PM[2.5],Kidney,Q2,9,6677,142994,"6677
142994"
pm25,PM[2.5],Kidney,Q2,10,4207,144926,"4207
144926"
pm25,PM[2.5],Kidney,Q3,0,180343,0,"180343
0"
pm25,PM[2.5],Kidney,Q3,0.25,166129,13049,"166129
13049"
pm25,PM[2.5],Kidney,Q3,0.5,156226,22116,"156226
22116"
pm25,PM[2.5],Kidney,Q3,0.75,147478,29984,"147478
29984"
pm25,PM[2.5],Kidney,Q3,1,139288,37251,"139288
37251"
pm25,PM[2.5],Kidney,Q3,1.5,124654,49972,"124654
49972"
pm25,PM[2.5],Kidney,Q3,2,111174,61340,"111174
61340"
pm25,PM[2.5],Kidney,Q3,2.5,98239,72088,"98239
72088"
pm25,PM[2.5],Kidney,Q3,3,86633,81444,"86633
81444"
pm25,PM[2.5],Kidney,Q3,4,66092,97755,"66092
97755"
pm25,PM[2.5],Kidney,Q3,5,48430,111556,"48430
111556"
pm25,PM[2.5],Kidney,Q3,6,34044,122693,"34044
122693"
pm25,PM[2.5],Kidney,Q3,7,22836,131444,"22836
131444"
pm25,PM[2.5],Kidney,Q3,8,14968,137537,"14968
137537"
pm25,PM[2.5],Kidney,Q3,9,9506,141744,"9506
141744"
pm25,PM[2.5],Kidney,Q3,10,5943,144484,"5943
144484"
pm25,PM[2.5],Kidney,Q4 highest,0,169998,0,"169998
0"
pm25,PM[2.5],Kidney,Q4 highest,0.25,149565,18746,"149565
18746"
pm25,PM[2.5],Kidney,Q4 highest,0.5,136650,30435,"136650
30435"
pm25,PM[2.5],Kidney,Q4 highest,0.75,125421,40411,"125421
40411"
pm25,PM[2.5],Kidney,Q4 highest,1,115699,48889,"115699
48889"
pm25,PM[2.5],Kidney,Q4 highest,1.5,98714,63132,"98714
63132"
pm25,PM[2.5],Kidney,Q4 highest,2,85247,73804,"85247
73804"
pm25,PM[2.5],Kidney,Q4 highest,2.5,72978,83453,"72978
83453"
pm25,PM[2.5],Kidney,Q4 highest,3,62936,91079,"62936
91079"
pm25,PM[2.5],Kidney,Q4 highest,4,46328,103661,"46328
103661"
pm25,PM[2.5],Kidney,Q4 highest,5,34051,112748,"34051
112748"
pm25,PM[2.5],Kidney,Q4 highest,6,24433,119824,"24433
119824"
pm25,PM[2.5],Kidney,Q4 highest,7,17021,125270,"17021
125270"
pm25,PM[2.5],Kidney,Q4 highest,8,11499,129348,"11499
129348"
pm25,PM[2.5],Kidney,Q4 highest,9,7045,132623,"7045
132623"
pm25,PM[2.5],Kidney,Q4 highest,10,4125,134830,"4125
134830"
pm25,PM[2.5],Liver,Q1 lowest,0,59996,0,"59996
0"
pm25,PM[2.5],Liver,Q1 lowest,0.25,34695,21433,"34695
21433"
pm25,PM[2.5],Liver,Q1 lowest,0.5,27237,27257,"27237
27257"
pm25,PM[2.5],Liver,Q1 lowest,0.75,21063,32295,"21063
32295"
pm25,PM[2.5],Liver,Q1 lowest,1,16912,35564,"16912
35564"
pm25,PM[2.5],Liver,Q1 lowest,1.5,11683,39705,"11683
39705"
pm25,PM[2.5],Liver,Q1 lowest,2,8711,42026,"8711
42026"
pm25,PM[2.5],Liver,Q1 lowest,2.5,6706,43550,"6706
43550"
pm25,PM[2.5],Liver,Q1 lowest,3,5250,44648,"5250
44648"
pm25,PM[2.5],Liver,Q1 lowest,4,3259,46144,"3259
46144"
pm25,PM[2.5],Liver,Q1 lowest,5,2106,47033,"2106
47033"
pm25,PM[2.5],Liver,Q1 lowest,6,1369,47623,"1369
47623"
pm25,PM[2.5],Liver,Q1 lowest,7,889,48003,"889
48003"
pm25,PM[2.5],Liver,Q1 lowest,8,591,48242,"591
48242"
pm25,PM[2.5],Liver,Q1 lowest,9,377,48413,"377
48413"
pm25,PM[2.5],Liver,Q1 lowest,10,237,48532,"237
48532"
pm25,PM[2.5],Liver,Q2,0,50761,0,"50761
0"
pm25,PM[2.5],Liver,Q2,0.25,29125,18498,"29125
18498"
pm25,PM[2.5],Liver,Q2,0.5,22694,23668,"22694
23668"
pm25,PM[2.5],Liver,Q2,0.75,17552,27905,"17552
27905"
pm25,PM[2.5],Liver,Q2,1,14209,30572,"14209
30572"
pm25,PM[2.5],Liver,Q2,1.5,9874,34026,"9874
34026"
pm25,PM[2.5],Liver,Q2,2,7322,36075,"7322
36075"
pm25,PM[2.5],Liver,Q2,2.5,5666,37346,"5666
37346"
pm25,PM[2.5],Liver,Q2,3,4425,38290,"4425
38290"
pm25,PM[2.5],Liver,Q2,4,2863,39512,"2863
39512"
pm25,PM[2.5],Liver,Q2,5,1887,40246,"1887
40246"
pm25,PM[2.5],Liver,Q2,6,1254,40744,"1254
40744"
pm25,PM[2.5],Liver,Q2,7,812,41088,"812
41088"
pm25,PM[2.5],Liver,Q2,8,515,41315,"515
41315"
pm25,PM[2.5],Liver,Q2,9,325,41467,"325
41467"
pm25,PM[2.5],Liver,Q2,10,210,41562,"210
41562"
pm25,PM[2.5],Liver,Q3,0,48959,0,"48959
0"
pm25,PM[2.5],Liver,Q3,0.25,27800,17861,"27800
17861"
pm25,PM[2.5],Liver,Q3,0.5,21470,22836,"21470
22836"
pm25,PM[2.5],Liver,Q3,0.75,16857,26584,"16857
26584"
pm25,PM[2.5],Liver,Q3,1,13845,28968,"13845
28968"
pm25,PM[2.5],Liver,Q3,1.5,9887,32047,"9887
32047"
pm25,PM[2.5],Liver,Q3,2,7488,33846,"7488
33846"
pm25,PM[2.5],Liver,Q3,2.5,5946,34981,"5946
34981"
pm25,PM[2.5],Liver,Q3,3,4788,35850,"4788
35850"
pm25,PM[2.5],Liver,Q3,4,3207,37021,"3207
37021"
pm25,PM[2.5],Liver,Q3,5,2150,37813,"2150
37813"
pm25,PM[2.5],Liver,Q3,6,1439,38369,"1439
38369"
pm25,PM[2.5],Liver,Q3,7,957,38731,"957
38731"
pm25,PM[2.5],Liver,Q3,8,653,38966,"653
38966"
pm25,PM[2.5],Liver,Q3,9,428,39141,"428
39141"
pm25,PM[2.5],Liver,Q3,10,291,39249,"291
39249"
pm25,PM[2.5],Liver,Q4 highest,0,57074,0,"57074
0"
pm25,PM[2.5],Liver,Q4 highest,0.25,30043,22434,"30043
22434"
pm25,PM[2.5],Liver,Q4 highest,0.5,22388,28503,"22388
28503"
pm25,PM[2.5],Liver,Q4 highest,0.75,17624,32255,"17624
32255"
pm25,PM[2.5],Liver,Q4 highest,1,14298,34832,"14298
34832"
pm25,PM[2.5],Liver,Q4 highest,1.5,10053,38002,"10053
38002"
pm25,PM[2.5],Liver,Q4 highest,2,7494,39911,"7494
39911"
pm25,PM[2.5],Liver,Q4 highest,2.5,5789,41144,"5789
41144"
pm25,PM[2.5],Liver,Q4 highest,3,4560,42037,"4560
42037"
pm25,PM[2.5],Liver,Q4 highest,4,2826,43305,"2826
43305"
pm25,PM[2.5],Liver,Q4 highest,5,1778,44028,"1778
44028"
pm25,PM[2.5],Liver,Q4 highest,6,1108,44527,"1108
44527"
pm25,PM[2.5],Liver,Q4 highest,7,720,44809,"720
44809"
pm25,PM[2.5],Liver,Q4 highest,8,473,44989,"473
44989"
pm25,PM[2.5],Liver,Q4 highest,9,313,45114,"313
45114"
pm25,PM[2.5],Liver,Q4 highest,10,177,45229,"177
45229"
pm25,PM[2.5],Lung,Q1 lowest,0,13654,0,"13654
0"
pm25,PM[2.5],Lung,Q1 lowest,0.25,5277,7610,"5277
7610"
pm25,PM[2.5],Lung,Q1 lowest,0.5,3459,9233,"3459
9233"
pm25,PM[2.5],Lung,Q1 lowest,0.75,2443,10127,"2443
10127"
pm25,PM[2.5],Lung,Q1 lowest,1,1807,10687,"1807
10687"
pm25,PM[2.5],Lung,Q1 lowest,1.5,1138,11270,"1138
11270"
pm25,PM[2.5],Lung,Q1 lowest,2,735,11603,"735
11603"
pm25,PM[2.5],Lung,Q1 lowest,2.5,477,11824,"477
11824"
pm25,PM[2.5],Lung,Q1 lowest,3,342,11941,"342
11941"
pm25,PM[2.5],Lung,Q1 lowest,4,175,12073,"175
12073"
pm25,PM[2.5],Lung,Q1 lowest,5,102,12132,"102
12132"
pm25,PM[2.5],Lung,Q1 lowest,6,53,12178,"53
12178"
pm25,PM[2.5],Lung,Q1 lowest,7,29,12195,"29
12195"
pm25,PM[2.5],Lung,Q1 lowest,8,13,12209,"13
12209"
pm25,PM[2.5],Lung,Q1 lowest,9,8,12213,"8
12213"
pm25,PM[2.5],Lung,Q1 lowest,10,5,12215,"5
12215"
pm25,PM[2.5],Lung,Q2,0,11489,0,"11489
0"
pm25,PM[2.5],Lung,Q2,0.25,4432,6373,"4432
6373"
pm25,PM[2.5],Lung,Q2,0.5,2862,7780,"2862
7780"
pm25,PM[2.5],Lung,Q2,0.75,2009,8515,"2009
8515"
pm25,PM[2.5],Lung,Q2,1,1486,8962,"1486
8962"
pm25,PM[2.5],Lung,Q2,1.5,902,9453,"902
9453"
pm25,PM[2.5],Lung,Q2,2,581,9714,"581
9714"
pm25,PM[2.5],Lung,Q2,2.5,366,9893,"366
9893"
pm25,PM[2.5],Lung,Q2,3,251,9986,"251
9986"
pm25,PM[2.5],Lung,Q2,4,130,10086,"130
10086"
pm25,PM[2.5],Lung,Q2,5,67,10137,"67
10137"
pm25,PM[2.5],Lung,Q2,6,37,10159,"37
10159"
pm25,PM[2.5],Lung,Q2,7,26,10169,"26
10169"
pm25,PM[2.5],Lung,Q2,8,13,10178,"13
10178"
pm25,PM[2.5],Lung,Q2,9,5,10184,"5
10184"
pm25,PM[2.5],Lung,Q2,10,3,10186,"3
10186"
pm25,PM[2.5],Lung,Q3,0,10219,0,"10219
0"
pm25,PM[2.5],Lung,Q3,0.25,4125,5427,"4125
5427"
pm25,PM[2.5],Lung,Q3,0.5,2661,6697,"2661
6697"
pm25,PM[2.5],Lung,Q3,0.75,1909,7328,"1909
7328"
pm25,PM[2.5],Lung,Q3,1,1450,7710,"1450
7710"
pm25,PM[2.5],Lung,Q3,1.5,931,8145,"931
8145"
pm25,PM[2.5],Lung,Q3,2,634,8397,"634
8397"
pm25,PM[2.5],Lung,Q3,2.5,448,8551,"448
8551"
pm25,PM[2.5],Lung,Q3,3,306,8663,"306
8663"
pm25,PM[2.5],Lung,Q3,4,149,8791,"149
8791"
pm25,PM[2.5],Lung,Q3,5,72,8855,"72
8855"
pm25,PM[2.5],Lung,Q3,6,44,8875,"44
8875"
pm25,PM[2.5],Lung,Q3,7,24,8893,"24
8893"
pm25,PM[2.5],Lung,Q3,8,17,8897,"17
8897"
pm25,PM[2.5],Lung,Q3,9,10,8903,"10
8903"
pm25,PM[2.5],Lung,Q3,10,5,8907,"5
8907"
pm25,PM[2.5],Lung,Q4 highest,0,11270,0,"11270
0"
pm25,PM[2.5],Lung,Q4 highest,0.25,4748,5716,"4748
5716"
pm25,PM[2.5],Lung,Q4 highest,0.5,3069,7181,"3069
7181"
pm25,PM[2.5],Lung,Q4 highest,0.75,2209,7903,"2209
7903"
pm25,PM[2.5],Lung,Q4 highest,1,1645,8368,"1645
8368"
pm25,PM[2.5],Lung,Q4 highest,1.5,1023,8869,"1023
8869"
pm25,PM[2.5],Lung,Q4 highest,2,649,9173,"649
9173"
pm25,PM[2.5],Lung,Q4 highest,2.5,435,9346,"435
9346"
pm25,PM[2.5],Lung,Q4 highest,3,289,9455,"289
9455"
pm25,PM[2.5],Lung,Q4 highest,4,154,9562,"154
9562"
pm25,PM[2.5],Lung,Q4 highest,5,77,9628,"77
9628"
pm25,PM[2.5],Lung,Q4 highest,6,43,9650,"43
9650"
pm25,PM[2.5],Lung,Q4 highest,7,15,9674,"15
9674"
pm25,PM[2.5],Lung,Q4 highest,8,10,9678,"10
9678"
pm25,PM[2.5],Lung,Q4 highest,9,3,9683,"3
9683"
pm25,PM[2.5],Lung,Q4 highest,10,1,9685,"1
9685"
