broad_reason,zip_prefix3,n
not_in_2020_zcta,552,4
not_in_2020_zcta,556,4
not_in_2020_zcta,575,4
not_in_2020_zcta,580,4
not_in_2020_zcta,587,4
not_in_2020_zcta,588,4
not_in_2020_zcta,609,4
not_in_2020_zcta,612,4
not_in_2020_zcta,615,4
not_in_2020_zcta,617,4
not_in_2020_zcta,636,4
not_in_2020_zcta,650,4
not_in_2020_zcta,652,4
not_in_2020_zcta,654,4
not_in_2020_zcta,658,4
not_in_2020_zcta,735,4
not_in_2020_zcta,737,4
not_in_2020_zcta,769,4
not_in_2020_zcta,808,4
not_in_2020_zcta,817,4
not_in_2020_zcta,832,4
not_in_2020_zcta,843,4
not_in_2020_zcta,845,4
not_in_2020_zcta,854,4
not_in_2020_zcta,867,4
not_in_2020_zcta,896,4
not_in_2020_zcta,942,4
not_in_2020_zcta,003,3
not_in_2020_zcta,013,3
not_in_2020_zcta,044,3
not_in_2020_zcta,123,3
not_in_2020_zcta,130,3
not_in_2020_zcta,133,3
not_in_2020_zcta,147,3
not_in_2020_zcta,150,3
not_in_2020_zcta,156,3
not_in_2020_zcta,169,3
not_in_2020_zcta,182,3
not_in_2020_zcta,226,3
not_in_2020_zcta,242,3
not_in_2020_zcta,252,3
not_in_2020_zcta,267,3
not_in_2020_zcta,269,3
not_in_2020_zcta,308,3
not_in_2020_zcta,340,3
not_in_2020_zcta,348,3
not_in_2020_zcta,375,3
not_in_2020_zcta,399,3
not_in_2020_zcta,414,3
not_in_2020_zcta,431,3
not_in_2020_zcta,439,3
not_in_2020_zcta,444,3
not_in_2020_zcta,451,3
not_in_2020_zcta,458,3
not_in_2020_zcta,461,3
not_in_2020_zcta,467,3
not_in_2020_zcta,487,3
not_in_2020_zcta,489,3
not_in_2020_zcta,492,3
not_in_2020_zcta,493,3
not_in_2020_zcta,496,3
not_in_2020_zcta,499,3
not_in_2020_zcta,502,3
not_in_2020_zcta,507,3
not_in_2020_zcta,511,3
not_in_2020_zcta,515,3
not_in_2020_zcta,543,3
not_in_2020_zcta,544,3
not_in_2020_zcta,547,3
not_in_2020_zcta,550,3
not_in_2020_zcta,564,3
not_in_2020_zcta,565,3
not_in_2020_zcta,582,3
not_in_2020_zcta,586,3
not_in_2020_zcta,632,3
not_in_2020_zcta,635,3
not_in_2020_zcta,647,3
not_in_2020_zcta,655,3
not_in_2020_zcta,693,3
not_in_2020_zcta,702,3
not_in_2020_zcta,715,3
not_in_2020_zcta,746,3
not_in_2020_zcta,792,3
not_in_2020_zcta,793,3
not_in_2020_zcta,813,3
not_in_2020_zcta,834,3
not_in_2020_zcta,846,3
not_in_2020_zcta,860,3
not_in_2020_zcta,892,3
not_in_2020_zcta,901,3
not_in_2020_zcta,944,3
not_in_2020_zcta,947,3
not_in_2020_zcta,962,3
not_in_2020_zcta,976,3
not_in_2020_zcta,001,2
not_in_2020_zcta,036,2
not_in_2020_zcta,046,2
not_in_2020_zcta,047,2
not_in_2020_zcta,049,2
not_in_2020_zcta,053,2
not_in_2020_zcta,055,2
not_in_2020_zcta,056,2
not_in_2020_zcta,096,2
not_in_2020_zcta,120,2
not_in_2020_zcta,131,2
not_in_2020_zcta,138,2
not_in_2020_zcta,153,2
not_in_2020_zcta,154,2
not_in_2020_zcta,158,2
not_in_2020_zcta,160,2
not_in_2020_zcta,177,2
not_in_2020_zcta,213,2
not_in_2020_zcta,215,2
not_in_2020_zcta,239,2
not_in_2020_zcta,268,2
not_in_2020_zcta,318,2
not_in_2020_zcta,397,2
not_in_2020_zcta,398,2
not_in_2020_zcta,401,2
not_in_2020_zcta,418,2
not_in_2020_zcta,425,2
not_in_2020_zcta,435,2
not_in_2020_zcta,437,2
not_in_2020_zcta,438,2
not_in_2020_zcta,446,2
not_in_2020_zcta,448,2
not_in_2020_zcta,456,2
not_in_2020_zcta,459,2
not_in_2020_zcta,470,2
not_in_2020_zcta,475,2
not_in_2020_zcta,476,2
not_in_2020_zcta,484,2
not_in_2020_zcta,491,2
not_in_2020_zcta,497,2
not_in_2020_zcta,504,2
not_in_2020_zcta,512,2
not_in_2020_zcta,523,2
not_in_2020_zcta,539,2
not_in_2020_zcta,540,2
not_in_2020_zcta,541,2
not_in_2020_zcta,545,2
not_in_2020_zcta,546,2
not_in_2020_zcta,559,2
not_in_2020_zcta,561,2
not_in_2020_zcta,562,2
not_in_2020_zcta,563,2
not_in_2020_zcta,567,2
not_in_2020_zcta,573,2
not_in_2020_zcta,574,2
not_in_2020_zcta,584,2
not_in_2020_zcta,595,2
not_in_2020_zcta,608,2
not_in_2020_zcta,610,2
not_in_2020_zcta,619,2
not_in_2020_zcta,620,2
not_in_2020_zcta,621,2
not_in_2020_zcta,626,2
not_in_2020_zcta,643,2
not_in_2020_zcta,644,2
not_in_2020_zcta,646,2
not_in_2020_zcta,651,2
not_in_2020_zcta,666,2
not_in_2020_zcta,672,2
