window,pollutant,tract_geoid,value,days,missing_values,nearest_fill_days
2010-2014,pm25,17031283200,11.6401971522453,1826,0,1826
2010-2014,pm25,17031310500,11.9184008762322,1826,0,0
2010-2014,pm25,17031420100,11.6867469879518,1826,0,0
2010-2014,pm25,17031491000,10.8502190580504,1826,0,0
2010-2014,pm25,17031802607,12.7174151150055,1826,0,0
2010-2014,pm25,17031836700,11.6752464403067,1826,0,0
2010-2014,pm25,17031837100,12.3603504928806,1826,0,0
2010-2014,pm25,17031835500,11.9950711938664,1826,0,0
2010-2014,pm25,17031834000,11.6484118291347,1826,0,0
2010-2014,pm25,17031330103,11.6265060240964,1826,0,0
2010-2014,pm25,17031809402,10.9989047097481,1826,0,1826
2010-2014,pm25,17031630600,12.3603504928806,1826,0,1826
2010-2014,pm25,17031803615,10.749726177437,1826,0,0
2010-2014,pm25,17031821001,11.6717780211756,1826,0,0
2010-2014,pm25,17031823702,12.1419313618109,1826,0,0
2010-2014,pm25,17031828602,11.7469879518072,1826,0,0
2010-2014,pm25,17031825801,11.1821832785688,1826,0,0
2010-2014,pm25,17031819801,12.5821467688938,1826,0,0
2010-2014,pm25,17031814400,12.2050018254838,1826,0,0
2010-2014,pm25,17031720700,11.460021905805,1826,0,0
2010-2014,pm25,17031813400,12.078313253012,1826,0,0
2010-2014,pm25,17031812802,11.9238773274918,1826,0,0
2010-2014,pm25,17031650301,11.2478094194962,1826,0,0
2010-2014,pm25,17031671400,11.5969331872946,1826,0,0
2010-2014,pm25,17031600600,12.4244249726177,1826,0,1826
2010-2014,pm25,17031340500,12.1905805038335,1826,0,0
2010-2014,pm25,17031310600,11.473713033954,1826,0,1826
2010-2014,pm25,17031420500,11.0717415115005,1826,0,1826
2010-2014,pm25,17031390500,11.631982475356,1826,0,1826
2010-2014,pm25,17031300500,11.1894852135816,1826,0,1826
2010-2014,pm25,17031806501,11.776560788609,1826,0,1826
2010-2014,pm25,17031810301,12.013143483023,1826,0,0
2010-2014,pm25,17031806103,12.2254928806134,1826,0,0
2010-2014,pm25,17031803800,11.9564622124863,1826,0,0
2010-2014,pm25,17031804511,12.2453450164294,1826,0,0
2010-2014,pm25,17031770601,12.0282037239869,1826,0,0
2010-2014,pm25,17031230300,10.7097480832421,1826,0,1826
2010-2014,pm25,17031241000,12.6966046002191,1826,0,1826
2010-2014,pm25,17031062400,10.6401971522453,1826,0,1826
2010-2014,pm25,17031030703,11.7962760131435,1826,0,1826
2010-2014,pm25,17031190702,11.0065717415115,1826,0,0
2010-2014,pm25,17031151002,11.7946330777656,1826,0,0
2010-2014,pm25,17031100600,11.486856516977,1826,0,1826
2010-2014,pm25,17031071700,10.9019715224535,1826,0,1826
2010-2014,pm25,17031061901,11.8395399780942,1826,0,0
2010-2014,pm25,17031030103,12.9375684556407,1826,0,1826
2010-2014,pm25,17031030701,12.0109529025192,1826,0,1826
2010-2014,pm25,17031080300,12.0372398685652,1826,0,0
2010-2014,pm25,17031430102,12.184556407448,1826,0,1826
2010-2014,pm25,17031240900,11.4819277108434,1826,0,0
2010-2014,pm25,17031610800,11.9950711938664,1826,0,1826
2010-2014,pm25,17031690500,11.170865279299,1826,0,1826
2010-2014,pm25,17031835200,12.6374589266156,1826,0,0
2010-2014,pm25,17031810702,11.947426067908,1826,0,0
2010-2014,pm25,17031660302,10.7639649507119,1826,0,0
2010-2014,pm25,17031809700,11.9090909090909,1826,0,0
2010-2014,pm25,17031805112,11.9496166484118,1826,0,0
2010-2014,pm25,17031818900,11.907995618839,1826,0,0
2010-2014,pm25,17031251400,11.2946330777656,1826,0,1826
2010-2014,pm25,17031292400,11.4956188389923,1826,0,1826
2010-2014,pm25,17031826600,11.4397590361446,1826,0,0
2010-2014,pm25,17031520500,11.2225264695144,1826,0,0
2010-2014,pm25,17031510200,11.1243154435926,1826,0,1826
2010-2014,pm25,17031611500,10.4764512595838,1826,0,0
2010-2014,pm25,17031440101,10.9704271631982,1826,0,1826
2010-2014,pm25,17031612200,11.76286966046,1826,0,0
2010-2014,pm25,17031836500,12.1993428258489,1826,0,0
2010-2014,pm25,17031801901,11.7460295728368,1826,0,0
2010-2014,pm25,17031062700,10.8806133625411,1826,0,0
2010-2014,pm25,17031050500,11.3619934282585,1826,0,1826
2010-2014,pm25,17031170400,11.8608981380066,1826,0,1826
2010-2014,pm25,17031151001,11.1500547645126,1826,0,0
2010-2014,pm25,17031130100,11.4308141657539,1826,0,0
2010-2014,pm25,17031063200,12.5427163198248,1826,0,1826
