model,organ,organ_label,pollutant,exposure_label,subgroup,subgroup_label,subgroup_level,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set,error
time_varying,KI,Kidney,o3,Monthly O3 per 10 ppb,age_group,Age group,<18,601161,17469,191,574,1.0325984011217941,0.9449901471695598,1.1283286510372117,0.47823290929612766,sex + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,o3,Monthly O3 per 10 ppb,age_group,Age group,18-39,4274945,101516,274,10221,0.9988871145538389,0.978192489268035,1.0200195550144866,0.9169738143292397,sex + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,o3,Monthly O3 per 10 ppb,age_group,Age group,40-59,10109633,274841,240,56790,0.9838305571159441,0.9752022573299405,0.9925351975345064,2.866006566503962e-4,sex + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,o3,Monthly O3 per 10 ppb,age_group,Age group,60+,5648182,198303,239,56404,0.9836068987117905,0.9748317269889378,0.9924610621586851,3.0028369791196513e-4,sex + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,o3,Monthly O3 per 10 ppb,sex,Sex,Female,8142025,228596,278,46299,0.9907982313022631,0.9811401787371263,1.0005513548688452,0.06436032463533302,age_interval + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,o3,Monthly O3 per 10 ppb,sex,Sex,Male,12491896,363533,280,77690,0.9830781798846105,0.9756489802219807,0.9905639501056543,1.0357868987557308e-5,age_interval + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,o3,Monthly O3 per 10 ppb,race_group,Race,White,11883104,370277,279,75632,0.9861522780385502,0.978585034918775,0.9937780374511263,3.881445294148382e-4,age_interval + sex + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,o3,Monthly O3 per 10 ppb,race_group,Race,Black,6790804,169621,277,38114,0.9900537707930055,0.9793158977813076,1.0009093810099061,0.0724000373235197,age_interval + sex + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,o3,Monthly O3 per 10 ppb,race_group,Race,Asian,1554889,40006,269,7747,0.9822565152105828,0.9596371616766934,1.0054090235395587,0.1320321024545956,age_interval + sex + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,LI,Liver,o3,Monthly O3 per 10 ppb,age_group,Age group,<18,162277,12632,111,1106,0.9479480220592725,0.8945624632391569,1.004519515912048,0.07068587458099039,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,o3,Monthly O3 per 10 ppb,age_group,Age group,18-39,346480,21162,149,2648,0.998980804947484,0.959195328545954,1.040416502201211,0.9607780419048301,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,o3,Monthly O3 per 10 ppb,age_group,Age group,40-59,1785728,109136,131,21776,0.9864563784286011,0.9731293038141963,0.999965968272053,0.049429542922597505,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,o3,Monthly O3 per 10 ppb,age_group,Age group,60+,950617,75907,127,18334,0.9886684274901387,0.9731907761405824,1.0043922358082684,0.15689856506350175,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,o3,Monthly O3 per 10 ppb,sex,Sex,Female,1247311,82567,159,17455,0.9933506165680971,0.9778404026022883,1.0091068489400026,0.40602949146246664,age_interval + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,o3,Monthly O3 per 10 ppb,sex,Sex,Male,1997791,136270,159,26409,0.983828104163363,0.9715173574647954,0.9962948485732547,0.01115692611648201,age_interval + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,o3,Monthly O3 per 10 ppb,race_group,Race,White,2776479,186462,160,37657,0.9894648199604852,0.9789710225685917,1.0000711025855098,0.05154743492891513,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,o3,Monthly O3 per 10 ppb,race_group,Race,Black,265905,18825,156,3742,0.9733433825849512,0.9419003687931977,1.0058360436101752,0.10682248296355648,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LI,Liver,o3,Monthly O3 per 10 ppb,race_group,Race,Asian,153738,9473,148,1756,0.9876446597776283,0.9412321024384251,1.0363458401601637,0.6126895396964441,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LU,Lung,o3,Monthly O3 per 10 ppb,age_group,Age group,<18,21254,1215,60,283,1.027813070290123,0.9101071723127289,1.1607420967518884,0.6584326156868178,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LU,Lung,o3,Monthly O3 per 10 ppb,age_group,Age group,18-39,80266,5477,78,799,0.9230286958861271,0.8552825843761863,0.9961409117790596,0.03945787264654175,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LU,Lung,o3,Monthly O3 per 10 ppb,age_group,Age group,40-59,176083,16946,75,2193,0.97382850092972,0.93091528946549,1.0187199200128527,0.24876276688993085,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,LU,Lung,o3,Monthly O3 per 10 ppb,age_group,Age group,60+,147239,24673,74,2501,0.9603493258587367,0.9187365094708727,1.0038469334461224,0.07344072540976261,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
