model,organ,organ_label,pollutant,exposure_label,subgroup,subgroup_label,subgroup_level,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set,error
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,age_group,Age group,40-59,276105,276105,237,56074,0.8878627520918321,0.8736307256510987,0.9023266277231475,3.554219270043394e-47,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,age_group,Age group,60+,205511,205511,237,57422,0.9416599458757803,0.9259956341189751,0.9575892379994183,2.1652373419395485e-12,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,sex,Sex,Female,231315,231315,276,45894,0.8921696915861227,0.876128448153827,0.9085046379467919,6.601734358759923e-35,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,sex,Sex,Male,368826,368826,277,78047,0.9098121650917589,0.8971910793972181,0.9226107958018119,3.884889557667415e-40,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,race_group,Race,White,373863,373863,277,75578,0.9003294693868771,0.8874420171004584,0.9134040735358786,3.213711031689108e-46,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,race_group,Race,Black,172177,172177,273,37939,0.9118109324595216,0.8936489822182577,0.9303419945591656,2.391099380364162e-19,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,race_group,Race,Asian,40957,40957,268,7882,0.8560365700985447,0.8207385619817503,0.8928526613598727,4.650205983626239e-13,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,age_group,Age group,<18,11850,11850,107,971,1.222223916661816,1.064314794234047,1.4035615313749463,0.004468403225274076,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,age_group,Age group,18-39,20140,20140,147,2453,1.1692892109362938,1.0666911951175704,1.2817554556277402,8.442691911705885e-4,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,age_group,Age group,40-59,102801,102801,129,20444,1.0098143971601627,0.9783633891108394,1.0422764466265384,0.5451898619054849,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,age_group,Age group,60+,73801,73801,125,18233,1.0185455762511724,0.9822736537358945,1.0561568937079213,0.3205957086034945,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,sex,Sex,Female,78893,78893,157,16746,1.0293322251895287,0.9932925802474433,1.0666794969410562,0.11186622402555552,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,sex,Sex,Male,129699,129699,157,25355,1.0257310244825129,0.9961140538394709,1.0562285819887656,0.08922372301097509,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,race_group,Race,White,177692,177692,158,36113,1.0246791355712126,1.0000209676650174,1.0499453159732954,0.049803119875737205,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,race_group,Race,Black,17893,17893,155,3574,1.0876954971172572,0.9973048218955793,1.186278726899637,0.05756499873749139,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,race_group,Race,Asian,9038,9038,146,1707,0.9895244768749798,0.8883657644643178,1.1022021891232296,0.8482181203433636,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,age_group,Age group,<18,11850,11850,107,971,1.0577321595101972,0.8945729739731041,1.2506495879180703,0.5114263214721984,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,age_group,Age group,18-39,20140,20140,147,2453,0.955378399084191,0.8447548876936655,1.0804884336670009,0.46721257883259587,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,age_group,Age group,40-59,102801,102801,129,20444,1.0360407570803238,0.9955791263807213,1.0781468010821844,0.08151238351175158,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,age_group,Age group,60+,73801,73801,125,18233,1.041022281233723,0.9958357133238868,1.0882592133674485,0.0757896712770686,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,sex,Sex,Female,78893,78893,157,16746,1.0357963822084642,0.9899327316089196,1.0837848988510768,0.12799017682778946,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,sex,Sex,Male,129699,129699,157,25355,1.0336079912411191,0.9966943750239318,1.071888741753809,0.0748285351126289,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,race_group,Race,White,177692,177692,158,36113,1.0283646478216313,0.9972862858358733,1.0604115026037264,0.07403354158563626,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,race_group,Race,Black,17893,17893,155,3574,1.0203381488004089,0.9092305399058367,1.145023063133432,0.7321376009846827,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,race_group,Race,Asian,9038,9038,146,1707,1.0031810303976123,0.8843954939374286,1.1379209716109393,0.9606063430545757,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,age_group,Age group,<18,12455,12455,108,987,1.1455713566384744,1.027654332170297,1.277018635613597,0.0141998032973162,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,age_group,Age group,18-39,22054,22054,149,2556,1.078504896422985,1.0039870015031767,1.158553656438622,0.03855627306885949,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,age_group,Age group,40-59,109010,109010,131,20759,0.9985055876132505,0.974543166765789,1.0230572051555864,0.9039524828771042,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,age_group,Age group,60+,79040,79040,127,18545,0.9729314056811187,0.9453183386024038,1.0013510597500117,0.061754463180838645,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,sex,Sex,Female,84828,84828,160,17082,0.9936999076967782,0.9660912736777724,1.022097532045335,0.660215751306306,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,sex,Sex,Male,137731,137731,160,25765,1.0000426752924552,0.9776558012941692,1.0229421756432384,0.9970523732982605,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,race_group,Race,White,189454,189454,161,36744,0.9916879390156468,0.9727633338665362,1.0109807125234742,0.39584719190408724,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,race_group,Race,Black,18831,18831,156,3625,1.0593371404964318,0.999154997681644,1.123144236719033,0.05340446254330053,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LI,Liver,no2,NO2 per 10 ppb,race_group,Race,Asian,9597,9597,146,1736,1.0097918386884752,0.9306630642399557,1.0956484646939257,0.8149527439896797,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,age_group,Age group,<18,1120,1120,59,262,0.9445358307530193,0.7020831498953046,1.270715492473127,0.706161476408872,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,age_group,Age group,18-39,5205,5205,78,736,1.2948255530359698,1.0772353178114884,1.5563667335016749,0.005913442637545995,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,age_group,Age group,40-59,16191,16191,74,2086,1.1386432540943816,1.023072369782171,1.2672695484589138,0.017421827768242158,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,age_group,Age group,60+,24272,24272,74,2498,1.144179009257629,1.0314998197267988,1.2691670712773437,0.01088758174882915,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,sex,Sex,Female,20021,20021,82,2944,1.1441558157546936,1.0436861433683593,1.2542971266250265,0.0040813462782146835,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,sex,Sex,Male,26767,26767,84,2638,1.1633798041822583,1.0555689658800582,1.282201933296454,0.0022892533421732643,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,race_group,Race,White,40357,40357,84,4667,1.1706472668041128,1.0892634109742634,1.2581116830594787,1.8217528442083503e-5,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,race_group,Race,Black,4673,4673,79,659,1.0324449102460103,0.8277380271410492,1.2877776032286266,0.7770333586314371,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,race_group,Race,Asian,1221,1221,70,208,1.2487930599092663,0.8494858889753123,1.8357975414502385,0.25840045780471027,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,o3,O3 per 10 ppb,age_group,Age group,<18,1120,1120,59,262,1.2711528133977161,0.9122337178773161,1.7712889178979434,0.15638960113828276,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,o3,O3 per 10 ppb,age_group,Age group,18-39,5205,5205,78,736,1.072315145060106,0.8635256327930975,1.3315873051805347,0.5274351271102462,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,o3,O3 per 10 ppb,age_group,Age group,40-59,16191,16191,74,2086,0.9216085937815792,0.8021704293231339,1.0588303546027573,0.24901345479349102,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,o3,O3 per 10 ppb,age_group,Age group,60+,24272,24272,74,2498,0.9457602130393125,0.8256840748834928,1.0832985736032001,0.42082213772565935,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,LU,Lung,o3,O3 per 10 ppb,sex,Sex,Female,20021,20021,82,2944,0.9270125961294099,0.8248131902107897,1.0418751343719077,0.20349668544806515,age + race_group + zcta_svi_proxy + strata(listing_center),NA
