model,organ,organ_label,pollutant,exposure_label,subgroup,subgroup_label,subgroup_level,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set,error,hazard_ratio_ci,p_value_display
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,race_group,Race,Black,161674,161674,273,37751,0.9462210059260394,0.9128562137535743,0.9808052775082293,0.002543187097499258,age + sex + zcta_svi_proxy + strata(listing_center),NA,0.95 (0.91-0.98),0.003
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,race_group,Race,Asian,38375,38375,265,7852,1.1248342176310857,1.0688204336910212,1.1837835217880022,6.369588714521094e-6,age + sex + zcta_svi_proxy + strata(listing_center),NA,1.12 (1.07-1.18),<.001
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,age_group,Age group,<18,17608,17608,181,556,0.7287474567555005,0.6162187578888805,0.8618252023794699,2.176129046166597e-4,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,0.73 (0.62-0.86),<.001
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,age_group,Age group,18-39,100917,100917,272,9889,0.7793071029945037,0.7501634213803262,0.8095830101395738,1.2272528420836501e-37,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,0.78 (0.75-0.81),<.001
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,age_group,Age group,40-59,276105,276105,237,56074,0.8878627520918321,0.8736307256510987,0.9023266277231475,3.554219270043394e-47,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,0.89 (0.87-0.90),<.001
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,age_group,Age group,60+,205511,205511,237,57422,0.9416599458757803,0.9259956341189751,0.9575892379994183,2.1652373419395485e-12,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,0.94 (0.93-0.96),<.001
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,sex,Sex,Female,231315,231315,276,45894,0.8921696915861227,0.876128448153827,0.9085046379467919,6.601734358759923e-35,age + race_group + zcta_svi_proxy + strata(listing_center),NA,0.89 (0.88-0.91),<.001
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,sex,Sex,Male,368826,368826,277,78047,0.9098121650917589,0.8971910793972181,0.9226107958018119,3.884889557667415e-40,age + race_group + zcta_svi_proxy + strata(listing_center),NA,0.91 (0.90-0.92),<.001
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,race_group,Race,White,373863,373863,277,75578,0.9003294693868771,0.8874420171004584,0.9134040735358786,3.213711031689108e-46,age + sex + zcta_svi_proxy + strata(listing_center),NA,0.90 (0.89-0.91),<.001
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,race_group,Race,Black,172177,172177,273,37939,0.9118109324595216,0.8936489822182577,0.9303419945591656,2.391099380364162e-19,age + sex + zcta_svi_proxy + strata(listing_center),NA,0.91 (0.89-0.93),<.001
baseline_prior_year,KI,Kidney,no2,NO2 per 10 ppb,race_group,Race,Asian,40957,40957,268,7882,0.8560365700985447,0.8207385619817503,0.8928526613598727,4.650205983626239e-13,age + sex + zcta_svi_proxy + strata(listing_center),NA,0.86 (0.82-0.89),<.001
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,age_group,Age group,<18,11850,11850,107,971,1.222223916661816,1.064314794234047,1.4035615313749463,0.004468403225274076,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.22 (1.06-1.40),0.004
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,age_group,Age group,18-39,20140,20140,147,2453,1.1692892109362938,1.0666911951175704,1.2817554556277402,8.442691911705885e-4,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.17 (1.07-1.28),<.001
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,age_group,Age group,40-59,102801,102801,129,20444,1.0098143971601627,0.9783633891108394,1.0422764466265384,0.5451898619054849,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.01 (0.98-1.04),0.545
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,age_group,Age group,60+,73801,73801,125,18233,1.0185455762511724,0.9822736537358945,1.0561568937079213,0.3205957086034945,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.02 (0.98-1.06),0.321
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,sex,Sex,Female,78893,78893,157,16746,1.0293322251895287,0.9932925802474433,1.0666794969410562,0.11186622402555552,age + race_group + zcta_svi_proxy + strata(listing_center),NA,1.03 (0.99-1.07),0.112
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,sex,Sex,Male,129699,129699,157,25355,1.0257310244825129,0.9961140538394709,1.0562285819887656,0.08922372301097509,age + race_group + zcta_svi_proxy + strata(listing_center),NA,1.03 (1.00-1.06),0.089
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,race_group,Race,White,177692,177692,158,36113,1.0246791355712126,1.0000209676650174,1.0499453159732954,0.049803119875737205,age + sex + zcta_svi_proxy + strata(listing_center),NA,1.02 (1.00-1.05),0.050
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,race_group,Race,Black,17893,17893,155,3574,1.0876954971172572,0.9973048218955793,1.186278726899637,0.05756499873749139,age + sex + zcta_svi_proxy + strata(listing_center),NA,1.09 (1.00-1.19),0.058
baseline_prior_year,LI,Liver,pm25,PM2.5 per 5 ug/m3,race_group,Race,Asian,9038,9038,146,1707,0.9895244768749798,0.8883657644643178,1.1022021891232296,0.8482181203433636,age + sex + zcta_svi_proxy + strata(listing_center),NA,0.99 (0.89-1.10),0.848
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,age_group,Age group,<18,11850,11850,107,971,1.0577321595101972,0.8945729739731041,1.2506495879180703,0.5114263214721984,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.06 (0.89-1.25),0.511
baseline_prior_year,LI,Liver,o3,O3 per 10 ppb,age_group,Age group,18-39,20140,20140,147,2453,0.955378399084191,0.8447548876936655,1.0804884336670009,0.46721257883259587,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,0.96 (0.84-1.08),0.467
