organ_label,outcome_label,pollutant,exposure,n,term,term_type,coefficient_ci,transformed_measure,transformed_ci,p_value_display,adjustment_set
Liver,MELD/PELD at listing,o3,Prior-year O3 per 10 ppb,208809,age,covariate,-0.0915 (-0.0947 to -0.0884),mean_difference,-0.09 (-0.09 to -0.09),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,o3,Prior-year O3 per 10 ppb,208809,sexM,covariate,-0.8255 (-0.9096 to -0.7415),mean_difference,-0.83 (-0.91 to -0.74),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,o3,Prior-year O3 per 10 ppb,208809,raceBLACK,covariate,2.6711 (2.4251 to 2.9170),mean_difference,2.67 (2.43 to 2.92),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,o3,Prior-year O3 per 10 ppb,208809,raceMULTI,covariate,0.8897 (0.3169 to 1.4625),mean_difference,0.89 (0.32 to 1.46),0.002,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,o3,Prior-year O3 per 10 ppb,208809,raceMissing,covariate,4.2827 (3.4290 to 5.1365),mean_difference,4.28 (3.43 to 5.14),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,o3,Prior-year O3 per 10 ppb,208809,raceNATIVE,covariate,3.3548 (2.8806 to 3.8290),mean_difference,3.35 (2.88 to 3.83),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,o3,Prior-year O3 per 10 ppb,208809,racePACIFIC,covariate,2.6049 (1.5857 to 3.6240),mean_difference,2.60 (1.59 to 3.62),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,o3,Prior-year O3 per 10 ppb,208809,raceWHITE,covariate,1.2868 (1.0833 to 1.4903),mean_difference,1.29 (1.08 to 1.49),<.001,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,o3,Prior-year O3 per 10 ppb,208809,zcta_svi_proxy,covariate,-0.1571 (-0.3939 to 0.0796),mean_difference,-0.16 (-0.39 to 0.08),0.193,age + sex + race + zcta_svi_proxy + listing_center
Liver,MELD/PELD at listing,no2,Prior-year NO2 per 10 ppb,222811,(Intercept),intercept,12.3637 (10.3460 to 14.3815),mean_difference,12.36 (10.35 to 14.38),<.001,age + sex + race + zcta_svi_proxy + listing_center
