analysis,model,organ,organ_label,exposure,exposure_label,n,people,intervals,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,HR,Heart,no2_interval_10ppb,NO2 per 10 ppb,76760,76760,923609,167,10342,1.2310344427826307,1.1793903511640484,1.2849399673495798,1.9868275558648086e-21,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,HR,Heart,pm25_interval_5ug,PM2.5 per 5 ug/m3,76760,76760,923609,167,10342,1.0784624720871145,1.0399659647068042,1.118384007911409,4.640288986997942e-5,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,HR,Heart,no2_interval_10ppb,NO2 per 10 ppb,76760,76760,923609,167,10342,1.234151774127555,1.1816622829427919,1.288972850846193,2.365611692092891e-21,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,HR,Heart,o3_interval_10ppb,O3 per 10 ppb,76760,76760,923609,167,10342,1.007497033007437,0.9861517571594958,1.0293043278070428,0.49421500567692844,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,KI,Kidney,pm25_interval_5ug,PM2.5 per 5 ug/m3,592129,592129,20633921,280,123989,1.0085201443087701,0.9982617223804,1.0188839847041629,0.10385669585688904,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,KI,Kidney,no2_interval_10ppb,NO2 per 10 ppb,592129,592129,20633921,280,123989,0.904341488546514,0.8922821870630233,0.9165637729454749,8.680897815994814e-49,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,KI,Kidney,pm25_interval_5ug,PM2.5 per 5 ug/m3,592129,592129,20633921,280,123989,1.0131530597445242,1.0027961693918963,1.0236169161796427,0.012681557483440234,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,KI,Kidney,no2_interval_10ppb,NO2 per 10 ppb,592129,592129,20633921,280,123989,0.8962268923386634,0.8840730752632255,0.9085477943232974,9.85226025003429e-56,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,KI,Kidney,o3_interval_10ppb,O3 per 10 ppb,592129,592129,20633921,280,123989,0.9776903197036112,0.9717215163877,0.9836957864178554,5.148561751335592e-13,age + sex + race + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,LI,Liver,pm25_interval_5ug,PM2.5 per 5 ug/m3,218837,218837,3245102,160,43864,1.0384279428656777,1.021740653971544,1.055387772163831,5.06597273445081e-6,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,LI,Liver,no2_interval_10ppb,NO2 per 10 ppb,218837,218837,3245102,160,43864,0.9952371400692094,0.9760760295595455,1.014774397666646,0.6302815498397885,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LI,Liver,pm25_interval_5ug,PM2.5 per 5 ug/m3,218837,218837,3245102,160,43864,1.0419508437550686,1.0250769323739828,1.059102518566688,8.090831284133685e-7,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LI,Liver,no2_interval_10ppb,NO2 per 10 ppb,218837,218837,3245102,160,43864,0.989952959257905,0.9705764388480582,1.0097163111713465,0.31671929414771133,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LI,Liver,o3_interval_10ppb,O3 per 10 ppb,218837,218837,3245102,160,43864,0.9852038658533242,0.9754646871507959,0.9950402819064703,0.0032727948092809898,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,LU,Lung,pm25_interval_5ug,PM2.5 per 5 ug/m3,48311,48311,424842,85,5776,1.0697728509263122,1.021782180349916,1.120017528772226,0.00397506053550919,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2,LU,Lung,no2_interval_10ppb,NO2 per 10 ppb,48311,48311,424842,85,5776,1.2909501356576556,1.2217372635961308,1.3640839994100653,1.0532246530570199e-19,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LU,Lung,pm25_interval_5ug,PM2.5 per 5 ug/m3,48311,48311,424842,85,5776,1.0784167482898361,1.0293480751602342,1.1298245084015794,0.0014860958743045888,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LU,Lung,no2_interval_10ppb,NO2 per 10 ppb,48311,48311,424842,85,5776,1.2791821892378452,1.2094955000917758,1.3528839695056032,7.002509243517705e-18,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
Time-varying cause-specific Cox,Multipollutant model: PM2.5 + NO2 + O3,LU,Lung,o3_interval_10ppb,O3 per 10 ppb,48311,48311,424842,85,5776,0.9742628982899203,0.9473097992508467,1.001982873749342,0.06851954763339363,age + sex + race + zcta_svi_proxy + organ_score_tv + strata(listing_center)
