organ,pollutant,pollutant_term,stage,fold,n_train,n_test,adverse_test,cv_concordance
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,community,3,541517,135684,25847,0.6528958969254359
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,community,4,542034,135167,25392,0.6540571501383579
KI,Ozone per 10 ppb,o3_prior_1y_10ppb,community,5,541915,135286,25467,0.6548350950961404
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,1,541342,135859,25494,0.5172252454122921
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,2,541996,135205,25634,0.5161361294073024
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,3,541517,135684,25847,0.5159674883496896
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,4,542034,135167,25392,0.519041337945137
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,5,541915,135286,25467,0.5143371077650858
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,1,541342,135859,25494,0.649580018731004
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,2,541996,135205,25634,0.6498551798148582
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,3,541517,135684,25847,0.6515450370384122
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,4,542034,135167,25392,0.6511007688144766
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,5,541915,135286,25467,0.6515421413488754
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,1,541342,135859,25494,0.6490489439385849
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,2,541996,135205,25634,0.6490112841856944
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,3,541517,135684,25847,0.6502466046760766
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,4,542034,135167,25392,0.6504882877621018
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,5,541915,135286,25467,0.6501729780852757
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,1,541342,135859,25494,0.6503800104016617
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,2,541996,135205,25634,0.6516854633049871
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,3,541517,135684,25847,0.6521184383611308
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,4,542034,135167,25392,0.6530613389750093
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,5,541915,135286,25467,0.6534896581568963
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,community,1,541342,135859,25494,0.6524191679725448
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,community,2,541996,135205,25634,0.6535457023279359
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,community,3,541517,135684,25847,0.6530780250311603
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,community,4,542034,135167,25392,0.6543427100718738
KI,NO2 per 10-unit increase,no2_prior_1y_10unit,community,5,541915,135286,25467,0.6549476580007787
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,1,173807,43437,8439,0.5219390808389142
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,2,173789,43455,8525,0.5175104679360929
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,3,173804,43440,8434,0.5198286613849695
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,4,173821,43423,8601,0.5099442973052094
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,5,173755,43489,8685,0.5143280699412549
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,1,173807,43437,8439,0.5538780691345853
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,2,173789,43455,8525,0.5448364518886972
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,3,173804,43440,8434,0.542902579201268
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,4,173821,43423,8601,0.5451053787986081
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,5,173755,43489,8685,0.5444723544928232
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,1,173807,43437,8439,0.7560521191588262
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,2,173789,43455,8525,0.7553840859063812
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,3,173804,43440,8434,0.7594113404090119
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,4,173821,43423,8601,0.753358560629243
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,5,173755,43489,8685,0.7541340652940975
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,1,173807,43437,8439,0.7564184702233453
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,2,173789,43455,8525,0.7553199795285415
LI,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,3,173804,43440,8434,0.7594998558668579
