section,table,variable,old_2506,new_2603,variable_status
pubsaf,cand_kipa,CAN_PREV_BONE_MARROW_TX,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PREV_HL,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PREV_HR,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PREV_IN,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PREV_KI,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PREV_KI_TX_FUNCTN,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PREV_KP,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PREV_LI,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PREV_LU,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PREV_PA,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PREV_TX,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PREV_TXFUS,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PRIMARY_PAY,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_PULM_EMBOL,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_RACE,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_RACE_AMERICAN_INDIAN,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_RACE_ASIAN,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_RACE_BLACK_AFRICAN_AMERICAN,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_RACE_HISPANIC_LATINO,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_RACE_NATIVE_HAWAIIAN,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_RACE_SRTR,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_RACE_WHITE,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_REM_CD,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_REM_COD,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_REM_DT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_SECONDARY_PAY,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_SOURCE,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_STAT_EXTEND_FLG,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_TIEBREAKER_DT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_TOT_ALBUMIN,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_TRR_EXISTS,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_TX_COUNTRY,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_VAD_TAH,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_VENTILATOR,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_WGT_KG,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_WLKIPA_A1,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_WLKIPA_A2,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_WLKIPA_B1,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_WLKIPA_B2,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_WLKIPA_DR1,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_WLKIPA_DR2,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_WORK_INCOME,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_WORK_NO_STAT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_WORK_YES_STAT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,CAN_YEAR_ENTRY_US,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,DONCRIT_ACPT_DCD,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,DONCRIT_ACPT_DCD_IMPORT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,DONOR_ID,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,DON_TY,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,ORG_AR,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,PERS_ID,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,PERS_NEXTTX,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,PERS_NEXTTX_TRR_ID,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,PERS_OPTN_DEATH_DT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,PERS_SSA_DEATH_DT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,PX_ID,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,REC_TX_DT,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,REC_TX_PROCEDURE_TY,TRUE,TRUE,present_in_both
pubsaf,cand_kipa,WL_ORG,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ABO,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ACADEMIC_LEVEL,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ACADEMIC_PROGRESS,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ACCEPT_HIV_ORG,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ACPT_A2_DON,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ACPT_ABO_INCOMP,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ACPT_EXTRACORP_LI,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ACPT_HBC_POS,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ACPT_HCV_POS,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ACPT_LI_SEG,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ACPT_ORG_OTHER_TEAM,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ACPT_PROCUR_KI,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ACPT_PROCUR_LI,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ACPT_PROCUR_PA,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ACTIVATE_DT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_AGE_AT_LISTING,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_AGE_IN_MONTHS_AT_LISTING,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ANASTOMOSIS,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ANESTH_PRIOR_DEATH,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ANGINA,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ANGINA_CAD,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ARTIFICIAL_LI,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ASCITES,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_BACTERIA_PERIT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_BMI,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_CEREB_VASC,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_CITIZENSHIP,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_COGNITIVE_DEVELOP,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_CTP_SCORE,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_DEATH_DT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_DGN,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_DGN2,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_DGN_OSTXT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_DIAB,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_DIAB_TY,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_DIAL,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_DRUG_TREAT_COPD,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_DRUG_TREAT_HYPERTEN,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ECMO,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_EDUCATION,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ELECTROLYTE,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_EMPL_STAT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ENCEPH,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ENDWLFU,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_ETHNICITY_SRTR,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_EXHAUST_VASC_ACCESS,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_FOLLOWS_OPO_ALLOC,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_FUNCTN_STAT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_FUNGAL_SEPSIS,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_GENDER,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_HGT_CM,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_HGT_WGT_DT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_IABP,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_INIT_ACT_STAT_CD,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_INIT_ACT_STAT_DT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_INIT_INACT_STAT_DT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_INIT_SRTR_LAB_MELD,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_INIT_SRTR_LAB_MELD_TY,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_INIT_STAT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_IV_INOTROP,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LAST_ACT_STAT_DT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LAST_ALBUMIN,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LAST_ASCITES,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LAST_BILI,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LAST_DIAL_PRIOR_WEEK,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LAST_ENCEPH,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LAST_INACT_STAT_DT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LAST_INR,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LAST_SERUM_CREAT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LAST_SERUM_SODIUM,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LAST_SRTR_LAB_MELD,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LAST_SRTR_LAB_MELD_TY,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LAST_STAT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LIFE_SUPPORT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LIFE_SUPPORT_OTHER,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LISTING_CTR_CD,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LISTING_CTR_TY,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LISTING_DT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LIVING_DON_TX,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LI_DYSFUNCTN,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_LOSS_VASC_ACCESS,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MALIG,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MALIG_TY,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MALIG_TY_BREAST,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MALIG_TY_CNS_TUMOR,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MALIG_TY_GENITOURINARY,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MALIG_TY_HEPBLAST,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MALIG_TY_HEPCARCINOMA,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MALIG_TY_LEUK_LYMPH,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MALIG_TY_LIVER,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MALIG_TY_LU,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MALIG_TY_OTHER,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MALIG_TY_SKIN_MEL,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MALIG_TY_SKIN_NON_MEL,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MALIG_TY_THROAT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MALIG_TY_THYROID,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MALIG_TY_UNK,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MAX_AGE,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MAX_MILE,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MAX_WGT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MED_COND,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MIN_AGE,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MIN_WGT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MOST_RECENT_CREAT,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MOST_RECENT_HGT_CM,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MOST_RECENT_WGT_KG,TRUE,TRUE,present_in_both
pubsaf,cand_liin,CAN_MOTOR_DEVELOP,TRUE,TRUE,present_in_both
