time_days,years_since_listing,stratum,n_risk,cumulative_death,standard_error,quartile,pollutant,quartile_group,quartile_label
1552.3125,4.25,exposure_quartile=2,57720,0.12697208393383141,9.771465233433634e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1582.75,4.333333333333333,exposure_quartile=2,55916,0.13000708019299412,9.97272215570519e-4,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1613.1875,4.416666666666667,exposure_quartile=2,54014,0.13294701231447537,0.001016935556249034,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1643.625,4.5,exposure_quartile=2,52256,0.1359756807868564,0.0010373496308069491,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1674.0625,4.583333333333333,exposure_quartile=2,50453,0.13924722528004163,0.0010595492444852516,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1704.5,4.666666666666667,exposure_quartile=2,48773,0.14251842917500246,0.0010819131163858108,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1734.9375,4.75,exposure_quartile=2,47134,0.14515966157621107,0.0011001507196443236,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1765.375,4.833333333333333,exposure_quartile=2,45539,0.1478825533693533,0.001119184239267744,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1795.8125,4.916666666666667,exposure_quartile=2,44002,0.15122778605141307,0.0011428458288729006,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
1826.25,5,exposure_quartile=2,42474,0.15416709505243742,0.0011638168837993727,2,PM2.5,Q2,Q2 (7.2-8.5 ug/m3)
0,0,exposure_quartile=3,274093,0,0,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
30.4375,0.08333333333333333,exposure_quartile=3,240106,0.009402419714085175,1.9044660657360028e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
60.875,0.16666666666666666,exposure_quartile=3,227412,0.013969766859615818,2.3483903383837682e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
91.3125,0.25,exposure_quartile=3,217593,0.017661135402919248,2.664536111272758e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
121.75,0.3333333333333333,exposure_quartile=3,209485,0.020928017353908035,2.923841922329829e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
152.1875,0.4166666666666667,exposure_quartile=3,202412,0.024036980723059598,3.1568632626863383e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
182.625,0.5,exposure_quartile=3,196129,0.0268093046901261,3.355744943868723e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
213.0625,0.5833333333333334,exposure_quartile=3,190210,0.02934874612412275,3.532150472276659e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
243.5,0.6666666666666666,exposure_quartile=3,185025,0.03188968604634057,3.7040216466005635e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
273.9375,0.75,exposure_quartile=3,180110,0.034372876110532746,3.867939244058176e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
304.375,0.8333333333333334,exposure_quartile=3,175595,0.03671444804300761,4.0192885704624156e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
334.8125,0.9166666666666666,exposure_quartile=3,171537,0.03906940745442755,4.168640104411468e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
365.25,1,exposure_quartile=3,167514,0.04136092733680785,4.311415482573342e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
395.6875,1.0833333333333333,exposure_quartile=3,163584,0.043888941759203215,4.4664356232946244e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
426.125,1.1666666666666667,exposure_quartile=3,159788,0.0460986730806946,4.5999539045154543e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
456.5625,1.25,exposure_quartile=3,155670,0.04835081376761152,4.734602675086483e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
487,1.3333333333333333,exposure_quartile=3,151823,0.05064367712120321,4.870552235723068e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
517.4375,1.4166666666666667,exposure_quartile=3,147905,0.05300277354874339,5.009285996616917e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
547.875,1.5,exposure_quartile=3,144211,0.05534764371214429,5.146265832538839e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
578.3125,1.5833333333333333,exposure_quartile=3,140653,0.057790818316867276,5.287795373508096e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
608.75,1.6666666666666667,exposure_quartile=3,137201,0.06000006794008805,5.415122152313367e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
639.1875,1.75,exposure_quartile=3,133739,0.06250020335133355,5.558303074973884e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
669.625,1.8333333333333333,exposure_quartile=3,130535,0.0648945820377489,5.694650397913793e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
700.0625,1.9166666666666667,exposure_quartile=3,127353,0.06736376037106873,5.834492497434984e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
730.5,2,exposure_quartile=3,124290,0.06995397434455641,5.980314449861593e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
760.9375,2.0833333333333335,exposure_quartile=3,121196,0.07233013125442156,6.113532552389197e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
791.375,2.1666666666666665,exposure_quartile=3,118125,0.07481539232306189,6.252550593022511e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
821.8125,2.25,exposure_quartile=3,115541,0.07714744858318379,6.382517845452671e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
852.25,2.3333333333333335,exposure_quartile=3,112984,0.07970265089503925,6.524208043140227e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
882.6875,2.4166666666666665,exposure_quartile=3,110624,0.08226792784636305,6.665710953417735e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
913.125,2.5,exposure_quartile=3,108217,0.08491474975045299,6.810760280718751e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
943.5625,2.5833333333333335,exposure_quartile=3,106014,0.08700487101169574,6.924874767413463e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
974,2.6666666666666665,exposure_quartile=3,103863,0.0897330848189627,7.07327096918991e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1004.4375,2.75,exposure_quartile=3,101479,0.09238043497946535,7.216496149710804e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1034.875,2.8333333333333335,exposure_quartile=3,99230,0.09527785150124535,7.37244123663496e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1065.3125,2.9166666666666665,exposure_quartile=3,97005,0.0978460746041353,7.510140653505295e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1095.75,3,exposure_quartile=3,94955,0.10057577902635717,7.656000076381055e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1126.1875,3.0833333333333335,exposure_quartile=3,92700,0.10328529666383457,7.800525395361059e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1156.625,3.1666666666666665,exposure_quartile=3,90546,0.10594423880096604,7.942262781205972e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1187.0625,3.25,exposure_quartile=3,88364,0.10867832526851406,8.08791177898138e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1217.5,3.3333333333333335,exposure_quartile=3,86313,0.11153215297987773,8.239879457823282e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1247.9375,3.4166666666666665,exposure_quartile=3,84238,0.11429836892960932,8.386974686307647e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
1278.375,3.5,exposure_quartile=3,82256,0.11706025874727233,8.533942858917311e-4,3,PM2.5,Q3,Q3 (8.5-10 ug/m3)
