model,organ,pollutant,subgroup,subgroup_level,n_before,people_before,adverse_events_before,hazard_ratio_before,conf_low_before,conf_high_before,p_value_before,n_after,people_after,adverse_events_after,hazard_ratio_after,conf_low_after,conf_high_after,p_value_after,n_change,people_change,adverse_events_change,hazard_ratio_change,conf_low_change,conf_high_change,p_value_change,hr_relative_change_percent,direction_changed,significance_changed
baseline_prior_year,KI,o3,age_group,60+,205511,205511,57422,1.044261376615422,1.0184655625009469,1.0707105501073066,6.895346609292876e-4,191312,191312,57077,1.0424341151946996,1.0164226834006362,1.0691112096063204,0.00126671107977411,-14199,-14199,-345,-0.0018272614207224258,-0.002042879100310646,-0.0015993405009862016,5.771764188448224e-4,-0.17498123186791004,FALSE,FALSE
baseline_prior_year,KI,o3,sex,Female,231315,231315,45894,1.0645669000563278,1.0359977427341682,1.0939238937959148,6.544590817999869e-6,217410,217410,45639,1.0619379962471267,1.0331969182884833,1.0914785825546651,1.7642324789160788e-5,-13905,-13905,-255,-0.0026289038092011108,-0.0028008244456849685,-0.0024453112412496925,1.1097733971160919e-5,-0.24694585272772018,FALSE,FALSE
baseline_prior_year,KI,o3,sex,Male,368826,368826,78047,1.0442122000148222,1.0228574012067695,1.0660128355852565,4.065857982398089e-5,346769,346769,77660,1.0448326894075464,1.0232493400263436,1.06687129534479,3.821508661724734e-5,-22057,-22057,-387,6.204893927241883e-4,3.9193881957411136e-4,8.584597595335808e-4,-2.443493206733548e-6,0.05942177200337628,FALSE,FALSE
baseline_prior_year,KI,o3,race_group,White,373863,373863,75578,1.09485907167194,1.0722603120471972,1.1179341185665173,1.6470987893943254e-17,352387,352387,75174,1.0959910260565109,1.0731641430419634,1.1193034513728,1.3973527090611088e-17,-21476,-21476,-404,0.0011319543845709212,9.038309947662082e-4,0.0013693328062827081,-2.497460803332166e-18,0.10338813586687756,FALSE,FALSE
baseline_prior_year,KI,o3,race_group,Black,172177,172177,37939,0.9530929366751326,0.9197501791863624,0.9876444348655774,0.00818744739886526,161674,161674,37751,0.9462210059260394,0.9128562137535744,0.9808052775082292,0.00254318709749925,-10503,-10503,-188,-0.0068719307490932025,-0.006893965432787974,-0.006839157357348191,-0.00564426030136601,-0.7210137106949843,FALSE,FALSE
baseline_prior_year,KI,o3,race_group,Asian,40957,40957,7882,1.1176848404135298,1.0628034307626022,1.1754002352004589,1.4840986909611109e-5,38375,38375,7852,1.1248342176310857,1.0688204336910212,1.1837835217880022,6.369588714521094e-6,-2582,-2582,-30,0.00714937721755593,0.006017002928419002,0.008383286587543282,-8.471398195090014e-6,0.6396594960445867,FALSE,FALSE
baseline_prior_year,KI,no2,age_group,<18,17608,17608,556,0.7635725252868276,0.6486195645306082,0.8988982652640742,0.00119399622694512,17608,17608,556,0.7287474567555005,0.6162187578888805,0.8618252023794699,2.176129046166597e-4,0,0,0,-0.034825068531327164,-0.03240080664172773,-0.037073062884604324,-9.763833223284603e-4,-4.560806914607818,FALSE,FALSE
baseline_prior_year,KI,no2,age_group,18-39,100917,100917,9889,0.7966765610045894,0.7673482515634741,0.8271258083417922,1.543949119058415e-32,100917,100917,9889,0.7793071029945037,0.7501634213803262,0.8095830101395738,1.22725284208365e-37,0,0,0,-0.017369458010085714,-0.01718483018314787,-0.01754279820221838,-1.5439368465299943e-32,-2.1802396179678274,FALSE,FALSE
baseline_prior_year,KI,no2,age_group,40-59,276105,276105,56074,0.8955736014975721,0.881355772699156,0.9100207890430492,1.4062339584068748e-41,276105,276105,56074,0.8878627520918321,0.8736307256510987,0.9023266277231476,3.554219270043394e-47,0,0,0,-0.007710849405740072,-0.007725047048057321,-0.007694161319901527,-1.4062304041876049e-41,-0.8609956113987738,FALSE,FALSE
baseline_prior_year,KI,no2,age_group,60+,205511,205511,57422,0.9502020473384128,0.9344240081077344,0.9662465036557722,2.243627310695371e-9,205511,205511,57422,0.9416599458757804,0.9259956341189752,0.9575892379994184,2.1652373419395485e-12,0,0,0,-0.008542101462632457,-0.008428373988759175,-0.00865726565635383,-2.2414620733534313e-9,-0.898977379238397,FALSE,FALSE
