time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,pollutant_label,subgroup,cif_adverse_percent,cif_transplant_or_improvement_percent
10,0.15133695539333822,0.8375854676704511,14,quartile=Q4 highest,Q4 highest,no2,NO[2],Durable LVAD,15.133695539333822,83.7585467670451
1,0.06625022253196937,0.5919801462545701,1099,quartile=Q1 lowest,Q1 lowest,o3,O[3],Durable LVAD,6.625022253196937,59.198014625457006
3,0.11241315867876861,0.7639679585309751,317,quartile=Q1 lowest,Q1 lowest,o3,O[3],Durable LVAD,11.24131586787686,76.39679585309752
5,0.13149885328702723,0.8156638607371341,95,quartile=Q1 lowest,Q1 lowest,o3,O[3],Durable LVAD,13.149885328702723,81.56638607371342
10,0.13964927345431197,0.8408584402934071,15,quartile=Q1 lowest,Q1 lowest,o3,O[3],Durable LVAD,13.964927345431196,84.0858440293407
1,0.06565656034232294,0.5325628269691669,1331,quartile=Q2,Q2,o3,O[3],Durable LVAD,6.565656034232294,53.25628269691669
3,0.11709785457771635,0.7169369475002334,410,quartile=Q2,Q2,o3,O[3],Durable LVAD,11.709785457771634,71.69369475002334
5,0.1474551916414451,0.7722317484992879,123,quartile=Q2,Q2,o3,O[3],Durable LVAD,14.745519164144511,77.22317484992878
10,0.1597487306994389,0.8193444048625955,9,quartile=Q2,Q2,o3,O[3],Durable LVAD,15.97487306994389,81.93444048625955
1,0.07407535832150419,0.5560288590429213,1008,quartile=Q3,Q3,o3,O[3],Durable LVAD,7.407535832150419,55.60288590429213
3,0.12078138561479307,0.7240077559111292,275,quartile=Q3,Q3,o3,O[3],Durable LVAD,12.078138561479307,72.40077559111292
5,0.14770860023493151,0.7802105487317944,82,quartile=Q3,Q3,o3,O[3],Durable LVAD,14.770860023493151,78.02105487317944
10,0.16687866633862974,0.8147369274515631,7,quartile=Q3,Q3,o3,O[3],Durable LVAD,16.687866633862974,81.47369274515631
1,0.08198134707086975,0.6325035208712904,462,quartile=Q4 highest,Q4 highest,o3,O[3],Durable LVAD,8.198134707086975,63.25035208712904
3,0.12391261458531724,0.7917908836117254,89,quartile=Q4 highest,Q4 highest,o3,O[3],Durable LVAD,12.391261458531725,79.17908836117255
5,0.13726322279239817,0.831201574500279,27,quartile=Q4 highest,Q4 highest,o3,O[3],Durable LVAD,13.726322279239817,83.1201574500279
10,0.13843119326303976,0.8499674488629406,7,quartile=Q4 highest,Q4 highest,o3,O[3],Durable LVAD,13.843119326303977,84.99674488629407
1,0.06518152578005466,0.5844877223979906,1156,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],Durable LVAD,6.518152578005466,58.44877223979906
3,0.11067708667304557,0.7619161597142837,335,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],Durable LVAD,11.067708667304558,76.19161597142838
5,0.13540197333496837,0.812613784514941,97,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],Durable LVAD,13.540197333496836,81.26137845149411
10,0.14724763730549406,0.8388377645459603,7,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],Durable LVAD,14.724763730549405,83.88377645459603
1,0.06515861750411397,0.5580876257931061,1136,quartile=Q2,Q2,pm25,PM[2.5],Durable LVAD,6.515861750411397,55.80876257931061
3,0.11570270824171162,0.7238551075466132,358,quartile=Q2,Q2,pm25,PM[2.5],Durable LVAD,11.570270824171162,72.38551075466133
5,0.13721532660653296,0.7806579898988125,118,quartile=Q2,Q2,pm25,PM[2.5],Durable LVAD,13.721532660653295,78.06579898988126
10,0.14998177325303386,0.8262281039376331,14,quartile=Q2,Q2,pm25,PM[2.5],Durable LVAD,14.998177325303386,82.62281039376332
1,0.06639700497721665,0.5341063293489725,1137,quartile=Q3,Q3,pm25,PM[2.5],Durable LVAD,6.639700497721665,53.41063293489725
3,0.11595262681377116,0.7205048168771113,321,quartile=Q3,Q3,pm25,PM[2.5],Durable LVAD,11.595262681377116,72.05048168771113
5,0.1417575643533596,0.7801827236255114,96,quartile=Q3,Q3,pm25,PM[2.5],Durable LVAD,14.175756435335959,78.01827236255114
10,0.15514027799587501,0.8190698979895648,13,quartile=Q3,Q3,pm25,PM[2.5],Durable LVAD,15.5140277995875,81.90698979895647
1,0.09515120726157948,0.6314497678657631,471,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],Durable LVAD,9.515120726157948,63.144976786576315
3,0.13664096065262546,0.7865526945718619,77,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],Durable LVAD,13.664096065262546,78.6552694571862
5,0.15753196844469508,0.8202100259616296,16,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],Durable LVAD,15.753196844469509,82.02100259616296
10,0.15753196844469508,0.8348800751029163,4,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],Durable LVAD,15.753196844469509,83.48800751029162
