time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,pollutant_label,subgroup,cif_adverse_percent,cif_transplant_or_improvement_percent
10,0.24036073525912816,0.6746337423631963,2786,quartile=Q2,Q2,o3,O[3],Dialysis <1 y,24.036073525912816,67.46337423631962
1,0.011535280855470606,0.07907581318685229,82478,quartile=Q3,Q3,o3,O[3],Dialysis <1 y,1.1535280855470607,7.907581318685229
3,0.06191807209750278,0.2371100546291453,52053,quartile=Q3,Q3,o3,O[3],Dialysis <1 y,6.191807209750278,23.71100546291453
5,0.13227113048629457,0.3885063246194973,29278,quartile=Q3,Q3,o3,O[3],Dialysis <1 y,13.227113048629457,38.85063246194973
10,0.2512088967918831,0.6385525409773383,3663,quartile=Q3,Q3,o3,O[3],Dialysis <1 y,25.12088967918831,63.85525409773383
1,0.01713328505132711,0.10231640961302084,74455,quartile=Q4 highest,Q4 highest,o3,O[3],Dialysis <1 y,1.7133285051327112,10.231640961302084
3,0.06789594954020152,0.2611929665628828,46037,quartile=Q4 highest,Q4 highest,o3,O[3],Dialysis <1 y,6.789594954020152,26.11929665628828
5,0.1317835835422757,0.3900837200143233,26778,quartile=Q4 highest,Q4 highest,o3,O[3],Dialysis <1 y,13.178358354227571,39.00837200143233
10,0.2558378989054971,0.6315129695477779,3226,quartile=Q4 highest,Q4 highest,o3,O[3],Dialysis <1 y,25.583789890549706,63.15129695477779
1,0.010538248812262488,0.08538711309622733,86820,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],Dialysis <1 y,1.0538248812262487,8.538711309622734
3,0.065909626601199,0.29487902371162855,54196,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],Dialysis <1 y,6.5909626601199,29.487902371162853
5,0.14293275700696687,0.4835083623756638,25388,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],Dialysis <1 y,14.293275700696686,48.350836237566384
10,0.24075519156183434,0.6979612460810647,1745,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],Dialysis <1 y,24.075519156183432,69.79612460810647
1,0.009289179711447389,0.06938830703597221,90324,quartile=Q2,Q2,pm25,PM[2.5],Dialysis <1 y,0.9289179711447388,6.938830703597221
3,0.05585999345823687,0.2376618056464527,58587,quartile=Q2,Q2,pm25,PM[2.5],Dialysis <1 y,5.585999345823687,23.76618056464527
5,0.1302926860977154,0.40817365488928586,30989,quartile=Q2,Q2,pm25,PM[2.5],Dialysis <1 y,13.029268609771542,40.81736548892859
10,0.24356080840216576,0.6587783816050043,3259,quartile=Q2,Q2,pm25,PM[2.5],Dialysis <1 y,24.356080840216578,65.87783816050043
1,0.012549213875772326,0.07570230712542322,83569,quartile=Q3,Q3,pm25,PM[2.5],Dialysis <1 y,1.2549213875772327,7.5702307125423225
3,0.056943135510958094,0.21232556770525998,57351,quartile=Q3,Q3,pm25,PM[2.5],Dialysis <1 y,5.694313551095809,21.232556770526
5,0.1228851182569118,0.34590015087808945,34607,quartile=Q3,Q3,pm25,PM[2.5],Dialysis <1 y,12.28851182569118,34.59001508780894
10,0.2561080355045159,0.6165504666345313,4463,quartile=Q3,Q3,pm25,PM[2.5],Dialysis <1 y,25.61080355045159,61.65504666345313
1,0.023698446264364292,0.12619316489267512,64049,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],Dialysis <1 y,2.3698446264364295,12.619316489267513
3,0.08038170074483407,0.27196141866008156,41297,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],Dialysis <1 y,8.038170074483407,27.196141866008155
5,0.14049725657170148,0.3811786277050123,26253,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],Dialysis <1 y,14.049725657170148,38.11786277050123
10,0.27104408791106815,0.6128550131130515,3658,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],Dialysis <1 y,27.104408791106817,61.28550131130515
1,0.061629538848954765,0.2563483108938219,3440,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Dialysis 1 to <3 y,6.162953884895477,25.63483108938219
3,0.20387981144302691,0.5169828145567662,1213,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Dialysis 1 to <3 y,20.387981144302692,51.69828145567662
5,0.29278942410219505,0.6275747974386263,252,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Dialysis 1 to <3 y,29.278942410219504,62.75747974386263
10,0.3339617757420534,0.6660382242579446,0,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Dialysis 1 to <3 y,33.39617757420534,66.60382242579446
1,0.06434210540909137,0.24405252443189462,6208,quartile=Q2,Q2,no2,NO[2],Dialysis 1 to <3 y,6.434210540909137,24.40525244318946
3,0.2150300343468252,0.5022816322337528,2175,quartile=Q2,Q2,no2,NO[2],Dialysis 1 to <3 y,21.50300343468252,50.228163223375276
5,0.29800834407165117,0.6166817829889172,490,quartile=Q2,Q2,no2,NO[2],Dialysis 1 to <3 y,29.800834407165116,61.66817829889172
10,0.33599228716590374,0.6640077128340952,0,quartile=Q2,Q2,no2,NO[2],Dialysis 1 to <3 y,33.599228716590375,66.40077128340953
1,0.06500871735832506,0.24334412142134884,6891,quartile=Q3,Q3,no2,NO[2],Dialysis 1 to <3 y,6.500871735832506,24.334412142134884
3,0.20829402769827965,0.5033060996576335,2479,quartile=Q3,Q3,no2,NO[2],Dialysis 1 to <3 y,20.829402769827965,50.33060996576335
5,0.2949544815659032,0.6203364884967834,560,quartile=Q3,Q3,no2,NO[2],Dialysis 1 to <3 y,29.49544815659032,62.033648849678336
10,0.33159386386728307,0.6680008067324039,0,quartile=Q3,Q3,no2,NO[2],Dialysis 1 to <3 y,33.15938638672831,66.80008067324039
1,0.056103324361987006,0.21338510470400177,13940,quartile=Q4 highest,Q4 highest,no2,NO[2],Dialysis 1 to <3 y,5.610332436198701,21.338510470400177
3,0.19341218446875527,0.45638875210939917,5799,quartile=Q4 highest,Q4 highest,no2,NO[2],Dialysis 1 to <3 y,19.341218446875526,45.638875210939915
5,0.2775272313823545,0.6001684758588938,1588,quartile=Q4 highest,Q4 highest,no2,NO[2],Dialysis 1 to <3 y,27.752723138235453,60.01684758588938
