time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,pollutant_label,unit_label,organ,cif_adverse_percent,cif_transplant_or_improvement_percent
1,0.03123685137350959,0.18614329851934405,103508,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Kidney,3.123685137350959,18.614329851934404
3,0.10280184099877704,0.3836402216438925,56021,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Kidney,10.280184099877705,38.36402216438925
5,0.16872145291788881,0.5082253239007531,29031,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Kidney,16.872145291788883,50.82253239007532
10,0.2622801277195286,0.6651575634519346,3517,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Kidney,26.22801277195286,66.51575634519345
1,0.022423858664224226,0.17001270669572485,111503,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],ug/m3,Kidney,2.2423858664224228,17.001270669572484
3,0.08638740537057496,0.3852690001428589,64236,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],ug/m3,Kidney,8.638740537057496,38.52690001428589
5,0.15803937491713102,0.5414168960116122,29194,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],ug/m3,Kidney,15.803937491713102,54.141689601161225
10,0.24110447792743117,0.705921401640068,2108,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],ug/m3,Kidney,24.110447792743116,70.5921401640068
1,0.020400003518626385,0.13723619973214893,123259,quartile=Q2,Q2,pm25,PM[2.5],ug/m3,Kidney,2.0400003518626386,13.723619973214893
3,0.07800993757984218,0.31694218822177483,74395,quartile=Q2,Q2,pm25,PM[2.5],ug/m3,Kidney,7.800993757984218,31.694218822177483
5,0.1498600368527316,0.46377527150660136,38217,quartile=Q2,Q2,pm25,PM[2.5],ug/m3,Kidney,14.986003685273161,46.377527150660136
10,0.2508793604032235,0.6646043666162579,4009,quartile=Q2,Q2,pm25,PM[2.5],ug/m3,Kidney,25.08793604032235,66.46043666162579
1,0.02504048207575609,0.14216310287114914,123255,quartile=Q3,Q3,pm25,PM[2.5],ug/m3,Kidney,2.504048207575609,14.216310287114913
3,0.08824565536630316,0.3065957396473929,75887,quartile=Q3,Q3,pm25,PM[2.5],ug/m3,Kidney,8.824565536630317,30.65957396473929
5,0.15786225749609276,0.4280189255314221,42778,quartile=Q3,Q3,pm25,PM[2.5],ug/m3,Kidney,15.786225749609276,42.80189255314221
10,0.2708591641836832,0.6268342572346987,5818,quartile=Q3,Q3,pm25,PM[2.5],ug/m3,Kidney,27.08591641836832,62.68342572346987
1,0.03872817992845363,0.20708824203107623,102630,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],ug/m3,Kidney,3.8728179928453628,20.708824203107625
3,0.12243144464445468,0.4039225314987455,55723,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],ug/m3,Kidney,12.243144464445468,40.39225314987455
5,0.18827378363814598,0.5199090417302642,29779,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],ug/m3,Kidney,18.8273783638146,51.99090417302642
10,0.277076527417003,0.6575023840802819,4086,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],ug/m3,Kidney,27.7076527417003,65.7502384080282
1,0.10530928150894053,0.628595143198343,13542,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Liver,10.530928150894054,62.8595143198343
3,0.14951830815608005,0.7440713401882699,3614,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Liver,14.951830815608005,74.407134018827
5,0.16650625101557975,0.7772030621283694,1383,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Liver,16.650625101557974,77.72030621283695
