time_days,event,cumulative_incidence,quartile,organ,pollutant,ps_n,full_n,min_value,max_value,quartile_label,years_since_listing
1643.625,Death/delisted too sick,0.1461079683244049,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.5
1643.625,Transplant,0.7890637495123309,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.5
1674.0625,Death/delisted too sick,0.14704695047660996,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.583333333333333
1674.0625,Transplant,0.7912282765054186,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.583333333333333
1704.5,Death/delisted too sick,0.14711111360198806,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.666666666666667
1704.5,Transplant,0.7923486631992603,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.666666666666667
1734.9375,Death/delisted too sick,0.1474200161226635,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.75
1734.9375,Transplant,0.7934205853038103,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.75
1765.375,Death/delisted too sick,0.14760993283892967,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.833333333333333
1765.375,Transplant,0.7938460741936321,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.833333333333333
1795.8125,Death/delisted too sick,0.14856642482607457,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.916666666666667
1795.8125,Transplant,0.7952162230728956,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),4.916666666666667
1826.25,Death/delisted too sick,0.14924554140415022,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),5
1826.25,Transplant,0.79700639987694,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),5
0,Death/delisted too sick,0,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0
0,Transplant,0,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0
30.4375,Death/delisted too sick,0.03641335627807508,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.08333333333333333
30.4375,Transplant,0.24013145205928485,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.08333333333333333
60.875,Death/delisted too sick,0.05551149082490886,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.16666666666666666
60.875,Transplant,0.33399742439032315,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.16666666666666666
91.3125,Death/delisted too sick,0.06612066922540022,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.25
91.3125,Transplant,0.4001622526336268,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.25
121.75,Death/delisted too sick,0.07312581832464564,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.3333333333333333
121.75,Transplant,0.446046578010798,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.3333333333333333
152.1875,Death/delisted too sick,0.08033381793802478,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.4166666666666667
152.1875,Transplant,0.4791535035165706,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.4166666666666667
182.625,Death/delisted too sick,0.08450113113351802,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.5
182.625,Transplant,0.5095011490906101,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.5
213.0625,Death/delisted too sick,0.08809793017321467,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.5833333333333334
213.0625,Transplant,0.5348878681757416,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.5833333333333334
243.5,Death/delisted too sick,0.09210241321154831,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.6666666666666666
243.5,Transplant,0.5563054435290085,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.6666666666666666
273.9375,Death/delisted too sick,0.09669444269607978,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.75
273.9375,Transplant,0.572022869711811,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.75
304.375,Death/delisted too sick,0.10069228752661501,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.8333333333333334
304.375,Transplant,0.5890640041216112,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.8333333333333334
334.8125,Death/delisted too sick,0.10323130818256625,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.9166666666666666
334.8125,Transplant,0.6034890321004265,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),0.9166666666666666
365.25,Death/delisted too sick,0.10588553449374964,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1
365.25,Transplant,0.6139001530054582,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1
395.6875,Death/delisted too sick,0.1085269166200829,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.0833333333333333
395.6875,Transplant,0.6224167787489194,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.0833333333333333
426.125,Death/delisted too sick,0.11148300937792527,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.1666666666666667
426.125,Transplant,0.6327316575711792,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.1666666666666667
456.5625,Death/delisted too sick,0.11358210212737203,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.25
456.5625,Transplant,0.6412541443375956,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.25
487,Death/delisted too sick,0.11615363486276345,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.3333333333333333
487,Transplant,0.6510064543752687,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.3333333333333333
517.4375,Death/delisted too sick,0.11802467298173942,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.4166666666666667
517.4375,Transplant,0.6581647236119312,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.4166666666666667
547.875,Death/delisted too sick,0.11957870739929927,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.5
547.875,Transplant,0.6668925435683222,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.5
578.3125,Death/delisted too sick,0.12065786784866227,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.5833333333333333
578.3125,Transplant,0.6733698594825676,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.5833333333333333
608.75,Death/delisted too sick,0.1231069912062199,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.6666666666666667
608.75,Transplant,0.6794174984521867,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.6666666666666667
639.1875,Death/delisted too sick,0.12474216632577446,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.75
639.1875,Transplant,0.685222983468936,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.75
669.625,Death/delisted too sick,0.1265347329232395,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.8333333333333333
669.625,Transplant,0.691895576649993,Q2,Heart,PM2.5,73497,73497,7.007795178528987,8.162267424007158,Q2 (7-8.2 ug/m3),1.8333333333333333
