step_file,step_dir,organ,pollutant,model,exposure_window,exposure_form,contrast,p25,p75,hazard_ratio,conf_low,conf_high,n_intervals,n_registrations,adverse_events,concordance,wald_chisq,df,p_value
li_single_pollutant_no2_lagged_annual_spline_contrast.csv,timevarying_steps_li_lu_seq,LI,NO2,single_pollutant_no2_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,0.49071150749528625,1.24663695335388,0.9763255148117091,0.677316862306123,1.4073346817719292,421374,216497,41324,0.7941305527456406,3.806224505764328,3,0.2831629460261782
li_single_pollutant_ozone_cumulative_linear_contrast.csv,timevarying_steps_li_lu_seq,LI,Ozone,single_pollutant_ozone_cumulative_linear,cumulative,linear,p75_vs_p25,3.642077856437832,4.0914002976953485,1.0147392403855986,0.8969109451561308,1.1480467838410604,421374,216497,41324,0.7941037562050739,2.3559095609457414,1,0.12480906971351896
li_single_pollutant_ozone_cumulative_spline_contrast.csv,timevarying_steps_li_lu_seq,LI,Ozone,single_pollutant_ozone_cumulative_spline,cumulative,spline,p75_vs_p25,3.642077856437832,4.0914002976953485,1.0395493975885828,0.9170625432079976,1.1783961279745363,421374,216497,41324,0.7940846636699201,7.412471085602904,3,0.05985061329397768
li_single_pollutant_ozone_lagged_annual_linear_contrast.csv,timevarying_steps_li_lu_seq,LI,Ozone,single_pollutant_ozone_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,3.637355819465481,4.083297200472483,1.0172201048720333,0.7559744905445014,1.3687455789818863,421374,216497,41324,0.7941014115077744,3.3506479138837153,1,0.06717856678448074
li_single_pollutant_ozone_lagged_annual_spline_contrast.csv,timevarying_steps_li_lu_seq,LI,Ozone,single_pollutant_ozone_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,3.637355819465481,4.083297200472483,1.0556228910178729,0.7838325470094326,1.4216552914171372,421374,216497,41324,0.7941024163780456,13.530623604745893,3,0.00361894383553661
li_single_pollutant_pm25_cumulative_linear_contrast.csv,timevarying_steps_li_lu_seq,LI,PM2.5,single_pollutant_pm25_cumulative_linear,cumulative,linear,p75_vs_p25,1.418166418148901,1.9992868747976096,0.9871576124415014,0.6997475431125517,1.392616753560311,421374,216497,41324,0.7940927026320902,1.0400732264698465,1,0.3078044419825387
li_single_pollutant_pm25_cumulative_spline_contrast.csv,timevarying_steps_li_lu_seq,LI,PM2.5,single_pollutant_pm25_cumulative_spline,cumulative,spline,p75_vs_p25,1.418166418148901,1.9992868747976096,0.9786454495958729,0.6933371451160106,1.381358149871598,421374,216497,41324,0.7941231836969846,2.06576865255417,3,0.5588689790462149
li_single_pollutant_pm25_lagged_annual_linear_contrast.csv,timevarying_steps_li_lu_seq,LI,PM2.5,single_pollutant_pm25_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,1.3979009508151583,1.9507275202335443,0.9925328568767228,0.8472019468437818,1.162794155100683,421374,216497,41324,0.7940772946212644,0.41299832103162487,1,0.5204515857454206
li_single_pollutant_pm25_lagged_annual_spline_contrast.csv,timevarying_steps_li_lu_seq,LI,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,1.3979009508151583,1.9507275202335443,0.9826712015368112,0.8373432200502758,1.1532220805129598,421374,216497,41324,0.7940893530645194,1.2196151249047902,3,0.7483037409383801
lu_combined_pollutants_cumulative_linear_contrast.csv,timevarying_steps_li_lu_seq,LU,PM2.5,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,1.3936627246963371,1.924045735845963,1.0210350568244932,0.6979339135406984,1.493712466235966,60514,41045,4635,0.797371167897321,0.2847932854217947,1,0.5935766004586075
lu_combined_pollutants_cumulative_linear_contrast.csv,timevarying_steps_li_lu_seq,LU,Ozone,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,3.65204586982727,4.027564509842972,0.983452574769192,0.7338397871913889,1.3179701941779671,60514,41045,4635,0.797371167897321,0.437177873105936,1,0.5084877304040984
lu_combined_pollutants_cumulative_linear_contrast.csv,timevarying_steps_li_lu_seq,LU,NO2,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,0.48000669988331846,1.15475099314138,0.926603680938208,0.6198574411226164,1.385148139825903,60514,41045,4635,0.797371167897321,3.715112653625288,1,0.05392198595701567
lu_combined_pollutants_cumulative_spline_contrast.csv,timevarying_steps_li_lu_seq,LU,PM2.5,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,1.3936627246963371,1.924045735845963,1.0882416424430246,0.73672340297697,1.6074823570985597,60514,41045,4635,0.7977036378397185,3.7119966355466687,3,0.2942896736053959
lu_combined_pollutants_cumulative_spline_contrast.csv,timevarying_steps_li_lu_seq,LU,Ozone,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,3.65204586982727,4.027564509842972,0.9776894951813132,0.722039155847107,1.323857219164856,60514,41045,4635,0.7977036378397185,7.197080498938439,3,0.0658744998770086
lu_combined_pollutants_cumulative_spline_contrast.csv,timevarying_steps_li_lu_seq,LU,NO2,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,0.48000669988331846,1.15475099314138,0.943334884955614,0.6233406053821177,1.4275994496278814,60514,41045,4635,0.7977036378397185,3.0103450908505245,3,0.3900329152536806
lu_combined_pollutants_lagged_annual_linear_contrast.csv,timevarying_steps_li_lu_seq,LU,PM2.5,combined_pollutants_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,1.3840508609401936,1.898354811687448,1.0204659360390156,0.7640042139057616,1.3630169934434846,60514,41045,4635,0.797417559052074,0.2988937693944688,1,0.5845767604725279
lu_combined_pollutants_lagged_annual_linear_contrast.csv,timevarying_steps_li_lu_seq,LU,Ozone,combined_pollutants_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,3.652171257681755,4.02039336776404,0.981728064736568,0.7107607770908562,1.3559977198463309,60514,41045,4635,0.797417559052074,0.5825247259171857,1,0.4453244070951061
lu_combined_pollutants_lagged_annual_linear_contrast.csv,timevarying_steps_li_lu_seq,LU,NO2,combined_pollutants_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,0.4725105308270157,1.1320981135735126,0.9295232117649136,0.5342993544822905,1.6170960978362898,60514,41045,4635,0.797417559052074,3.483312637883484,1,0.06199052899496798
lu_combined_pollutants_lagged_annual_spline_contrast.csv,timevarying_steps_li_lu_seq,LU,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,1.3840508609401936,1.898354811687448,1.0882370333665494,0.7965689996489548,1.486700890082752,60514,41045,4635,0.7976572466849654,4.5162846041965485,3,0.2108423291524267
lu_combined_pollutants_lagged_annual_spline_contrast.csv,timevarying_steps_li_lu_seq,LU,Ozone,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,3.652171257681755,4.02039336776404,0.9867327331047486,0.700129063003134,1.3906600054624625,60514,41045,4635,0.7976572466849654,8.5231985729986,3,0.03635019431650231
lu_combined_pollutants_lagged_annual_spline_contrast.csv,timevarying_steps_li_lu_seq,LU,NO2,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,0.4725105308270157,1.1320981135735126,0.9402818262826772,0.5354902212620986,1.651066401835832,60514,41045,4635,0.7976572466849654,2.368441933978066,3,0.4995361799862717
lu_single_pollutant_no2_cumulative_linear_contrast.csv,timevarying_steps_li_lu_seq,LU,NO2,single_pollutant_no2_cumulative_linear,cumulative,linear,p75_vs_p25,0.48000669988331846,1.15475099314138,0.9415042386417404,0.6394728438153979,1.3861890148321243,60514,41045,4635,0.7973943634746975,3.452691111457953,1,0.06314887404576253
lu_single_pollutant_no2_cumulative_spline_contrast.csv,timevarying_steps_li_lu_seq,LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,p75_vs_p25,0.48000669988331846,1.15475099314138,0.9678635915764484,0.6559643763772678,1.4280652511539726,60514,41045,4635,0.797417559052074,4.3261176704888,3,0.22833454332435113
lu_single_pollutant_no2_lagged_annual_linear_contrast.csv,timevarying_steps_li_lu_seq,LU,NO2,single_pollutant_no2_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,0.4725105308270157,1.1320981135735126,0.9450251589998696,0.5559572284167907,1.6063691692361788,60514,41045,4635,0.7974252909111996,3.0291803580369385,1,0.08177931891743039
lu_single_pollutant_no2_lagged_annual_spline_contrast.csv,timevarying_steps_li_lu_seq,LU,NO2,single_pollutant_no2_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,0.4725105308270157,1.1320981135735126,0.9699495624066646,0.5694489714930598,1.6521272330094046,60514,41045,4635,0.797417559052074,3.809888094569795,3,0.2827380725939152
lu_single_pollutant_ozone_cumulative_linear_contrast.csv,timevarying_steps_li_lu_seq,LU,Ozone,single_pollutant_ozone_cumulative_linear,cumulative,linear,p75_vs_p25,3.65204586982727,4.027564509842972,0.9986798144228702,0.7454510917046012,1.337929990088366,60514,41045,4635,0.7971933351374338,0.0030330349174511,1,0.9560803093447507
lu_single_pollutant_ozone_cumulative_spline_contrast.csv,timevarying_steps_li_lu_seq,LU,Ozone,single_pollutant_ozone_cumulative_spline,cumulative,spline,p75_vs_p25,3.65204586982727,4.027564509842972,0.9976153929850916,0.7394991156757363,1.3458251013746996,60514,41045,4635,0.7976495148258399,6.534238556021393,3,0.08832195582532563
