organ,model,n,adverse_events,concordance,term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,functional_status998,19.098255811336283,0.09219991600551555,0.09330420417093852,31.612691392777318,2.4710882780827714e-219,15.906441171568558,22.930545626207614
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,life_supportN,37.321042204971235,0.026014575865657277,0.025338447304133982,142.84842549041682,0,35.51285904905923,39.22129134523012
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,life_supportY,44.17320331925136,0.026014587612797208,0.025338482453035202,149.50060061843575,0,42.03303397950794,46.42234230427451
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,ecmo1,2.474796422300303,0.05094241702489284,0.05281403087439481,17.157526589414744,5.521557194204141e-66,2.2314342510310805,2.7446998848388082
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,ventilator1,1.5110180660582258,0.04116061108141374,0.04188816721471791,9.854421117592887,6.559357839236785e-23,1.3919203500156099,1.6403062114356872
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,iabp1,0.998330999324708,0.04632639980138818,0.04800651401099337,-0.03479517400870242,0.9722430688861978,0.9086807710095723,1.0968260978003805
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,inotropes1,0.98212183305277,0.02626656163625065,0.025944543641865835,-0.695325858380392,0.48685111261450864,0.9334290873019989,1.0333546576600963
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad_tahMissing,0.8765111269346836,18.667792310551516,0.8889418247393784,-0.14827278489870685,0.8821274924379341,0.15349307287742459,5.005253600296543
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad1203,0.2036980502938323,0.34587776081399224,0.31284398032690136,-5.085974566592016,3.657430671379566e-7,0.11032999368195331,0.3760799244955965
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad1204,0.019269623115351204,4.431430075732661,26.72600185791697,-0.14776715858382172,0.8825265284103444,3.4328845270048433e-25,1081651223880946e6
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad1205,0.20296616884005117,0.04119914379600461,0.03975659562262423,-40.11198506347545,0,0.1877512246935438,0.2194140984211899
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad1206,2.3417388389946927,1.0629952519252408,0.40188293286034243,2.117267685252605,0.034237135810523435,1.0652586916171451,5.147801968863983
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad1207,0.00419713678465554,9.840593697876304,0.9050156828822787,-6.0477987372283595,1.468382261958642e-9,7.122006688416498e-4,0.02473454176581988
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad1208,0.3933104250702677,0.15601943023496415,0.13842354835111279,-6.741310307018328,1.5696456892610312e-11,0.2998534982965314,0.5158955668276894
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad1209,0.47830484400085765,0.6155478780442458,0.48559881152118417,-1.5187578373597037,0.12882346229980518,0.18465553133937487,1.2389313341186765
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad1210,0.5148572768457941,0.2824439146168148,0.27484622649647306,-2.415407180689259,0.015717627937614602,0.30042586699776475,0.88234085223773
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad1212,0.42916177340749173,0.8714261024433337,0.8685976224348028,-0.9738932217832575,0.33010955961572436,0.0782112801824919,2.354901074685299
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad1213,1.3938841724646565,0.496726381309871,0.47258818714479334,0.7027137534657962,0.48223415482344195,0.5520251856928328,3.519609497180784
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad1214,0.49571210932258736,1.189351160619406,0.559022203839583,-1.2553346552279168,0.2093572997252462,0.16572535784195627,1.4827573675441348
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad1215,0.15876780646917735,0.3921486537887898,0.4338316983334247,-4.241996349815342,2.215402961174878e-5,0.06783974917214156,0.37157001136710444
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad1216,0.3970567584027356,0.1820831035837304,0.17008276274747697,-5.430744570021292,5.6119411304248275e-8,0.2844971253680712,0.5541499556078877
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad1217,0.3073976246150296,0.26805141990702236,0.25403362581423783,-4.643531624873232,3.4250353745771966e-6,0.18683863806104845,0.505748171789218
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad1218,1.4542548194700502,1.0366686773010798,0.9697965716082237,0.3861568795206642,0.6993804867394505,0.21734425915090247,9.730448313721132
HR,clinical_center_community_plus_prior_pollution,72946,9929,0.7563904818699081,vad1221,0.6481335147361479,0.7912261336553368,0.9559347550410057,-0.4536487038546452,0.6500816928587327,0.09953397318549373,4.220438906235237
