year,month,rows,zips,dates,missing_values,zonal_mean_values,nearest_fill_values,mean,p01,p50,p99,output
2016,3,1032300,33300,31,0,999316,32984,7.21009985451624,2.06666666666667,6.72727272727273,16.7229040299128,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_03.csv.gz
2016,4,999000,33300,30,0,967080,31920,6.60635555957629,2.01058201058201,6.08264462809917,14.069773992794,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_04.csv.gz
2016,5,1032300,33300,31,0,999316,32984,7.25394828900966,2,6.81021897810219,16.9420317725753,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_05.csv.gz
2016,6,999000,33300,30,0,967080,31920,7.53166446911525,2,7.02690239867659,17.2,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_06.csv.gz
2016,7,1032300,33300,31,0,999316,32984,7.76712458934896,2,7.46539671020803,16.7804954268293,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_07.csv.gz
2016,8,1032300,33300,31,0,999316,32984,7.1899901065748,2.21817993079585,6.88405797101449,15.4929693454847,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_08.csv.gz
2016,9,999000,33300,30,0,967080,31920,6.89677524555936,1.77659515036253,6.23076923076923,16.4009523671721,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_09.csv.gz
2016,10,1032300,33300,31,0,999316,32984,6.78610292934493,1.62053035714286,6.30129167629168,14.7333333333333,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_10.csv.gz
2016,11,999000,33300,30,0,967080,31920,8.17779583680253,1.96774193548387,7.37037037037037,20.5714285714286,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_11.csv.gz
2016,12,1032300,33300,31,0,999316,32984,7.54484456069833,2.18443609958658,7,19.8235294117647,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_12.csv.gz
2017,1,1032300,33300,31,0,999316,32984,7.62838597615251,2.01754385964912,7,19.8,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2017_01.csv.gz
2017,2,932400,33300,28,0,902608,29792,7.89343242875561,2.1392381427596,7.25,18.2786885245902,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2017_02.csv.gz
2017,3,1032300,33300,31,0,999316,32984,6.86030309408259,2,6.3775395551479,15,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2017_03.csv.gz
2017,4,999000,33300,30,0,967080,31920,6.50931681533838,1.5,6.01390500128899,14.85,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2017_04.csv.gz
2017,5,1032300,33300,31,0,999316,32984,6.63366138995102,1.56756756756757,6.00413650907722,15.7777777777778,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2017_05.csv.gz
2017,6,999000,33300,30,0,967080,31920,7.04877034049903,2,6.70833333333333,15.55,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2017_06.csv.gz
2017,7,1032300,33300,31,0,999316,32984,8.42425906580197,2.46666666666667,8.0125,17.9250092592593,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2017_07.csv.gz
2017,8,1032300,33300,31,0,999316,32984,9.0032929054287,2.80952380952381,8.28571428571429,25.1111111111111,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2017_08.csv.gz
2017,9,999000,33300,30,0,967080,31920,9.28153363329944,2,8.87301587301587,26.25,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2017_09.csv.gz
2017,10,1032300,33300,31,0,999316,32984,6.80049950292164,2,6.11111111111111,17.44,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2017_10.csv.gz
2017,11,999000,33300,30,0,967080,31920,7.81749041350814,2,7.48134596029894,17.25,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2017_11.csv.gz
