model,term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high
single_pollutant_o3_per_10ppb,"ns(age, df = 4)2",1.7899578335248483,0.02117759604004656,0.02391009693266028,24.349213828987846,5.909549522924004e-131,1.708010314069113,1.8758370598851803
single_pollutant_o3_per_10ppb,"ns(age, df = 4)3",0.3809635556128688,0.06342755695354708,0.07436121880310731,-12.977887916889527,1.633224238974586e-38,0.32929644881804804,0.4407373089692577
single_pollutant_o3_per_10ppb,"ns(age, df = 4)4",1.8426286402629926,0.06544426803761912,0.06912547206555285,8.841793664557096,9.419405478359955e-19,1.6091558509362525,2.1099760498288433
single_pollutant_o3_per_10ppb,sexM,1.0110155424218514,0.006256093149851726,0.006807278540493661,1.6093528669907888,0.1075392052124364,0.9976161383853029,1.0245949195178026
single_pollutant_o3_per_10ppb,race_srtrBLACK,0.8952764097938493,0.014066387785756508,0.015100800308574977,-7.325623037776185,2.3779134400519204e-13,0.8691671754799604,0.9221699490558412
single_pollutant_o3_per_10ppb,race_srtrMULTI,0.9000394006143366,0.04769890297476892,0.04916202556920141,-2.1422375692688918,0.03217436974429537,0.8173625395582993,0.9910790909208717
single_pollutant_o3_per_10ppb,race_srtrNATIVE,1.2277665920717782,0.03289865460534225,0.034342415225423494,5.975023559332017,2.3005693406921335e-9,1.1478456562371993,1.3132521749910653
single_pollutant_o3_per_10ppb,race_srtrPACIFIC,1.1005021395530161,0.05222137862625202,0.05457157855993432,1.7548798967176171,0.07927985349764358,0.9888706323767872,1.2247354906777146
single_pollutant_o3_per_10ppb,race_srtrWHITE,1.2951736070563604,0.013502396332133211,0.014467560504184821,17.877564472220143,1.7637517924419302e-71,1.2589636067071135,1.3324250704934257
single_pollutant_o3_per_10ppb,ethnicity_srtrNLATIN,1.2270491659244596,0.008617282411121613,0.009364133999073954,21.850630819071085,7.666663489803266e-106,1.2047340890093818,1.2497775810709932
single_pollutant_o3_per_10ppb,CAN_BMI,1.000001983801389,1.8055539766310942e-6,1.699627121292879e-6,1.1671968494811928,0.24313088292587293,0.9999986525923842,1.000005315021491
single_pollutant_o3_per_10ppb,o3_10ppb,0.984892837018958,0.006815407953873055,0.007368561365013985,-2.0658630469619967,0.038841412949135304,0.970771120685883,0.999219980633441
single_pollutant_no2_per_10unit,"ns(age, df = 4)1",0.9139309818410751,0.02567596934993885,0.030395938757149993,-2.960929198704093,0.003067124382483934,0.8610737105461349,0.9700329127911973
