center_code,organ,n_candidates,organ_label,center_type,optn_region,center_name,city,state,zip,country,lon,lat,location_source
DCCH,KI,321,Kidney,TX1,2,Children's National Medical Center,Washington,DC,20010,USA,-77.03372789075587,38.9320695,zip_zcta
DCGU,KI,5337,Kidney,TX1,2,Medstar Georgetown Transplant Institute,Washington,DC,20007,USA,-77.06181481617337,38.910232,zip_zcta
DCGU,LI,3026,Liver,TX1,2,Medstar Georgetown Transplant Institute,Washington,DC,20007,USA,-77.06181481617337,38.910232,zip_zcta
DCGW,KI,1033,Kidney,TX1,2,George Washington University Hospital,Washington,DC,20037,USA,-77.05658763791283,38.890993,zip_zcta
DCGW,LI,52,Liver,TX1,2,George Washington University Hospital,Washington,DC,20037,USA,-77.05658763791283,38.890993,zip_zcta
DCHU,KI,80,Kidney,TX1,2,Howard University Hospital,Washington,DC,20060,USA,-77.02,38.91,city_state
DCWH,HR,522,Heart,TX1,2,Washington Hospital Center,Washington,DC,20010,USA,-77.03372789075587,38.9320695,zip_zcta
DCWH,KI,1534,Kidney,TX1,2,Washington Hospital Center,Washington,DC,20010,USA,-77.03372789075587,38.9320695,zip_zcta
DCWR,KI,1114,Kidney,TX1,2,Walter Reed National Military Medical Center at Bethesda,Bethesda,MD,20889,USA,-77.09026314990737,39.002340000000004,zip_zcta
DEAI,HR,67,Heart,TX1,2,Nemours Children's Hospital Delaware,Wilmington,DE,19803,USA,-75.535903797468393,39.799921,zip_zcta
DEAI,KI,129,Kidney,TX1,2,Nemours Children's Hospital Delaware,Wilmington,DE,19803,USA,-75.535903797468393,39.799921,zip_zcta
DEAI,LI,184,Liver,TX1,2,Nemours Children's Hospital Delaware,Wilmington,DE,19803,USA,-75.535903797468393,39.799921,zip_zcta
DECC,KI,1423,Kidney,TX1,2,Christiana Care Health Services,Newark,DE,19713,USA,-75.7058305254302,39.6742985,zip_zcta
FLAC,HR,176,Heart,TX1,3,Johns Hopkins All Children's Hospital,St. Petersburg,FL,33701,USA,-82.63445981260259,27.7721625554913,zip_zcta
FLAC,KI,3,Kidney,TX1,3,Johns Hopkins All Children's Hospital,St. Petersburg,FL,33701,USA,-82.63445981260259,27.7721625554913,zip_zcta
FLBC,KI,75,Kidney,TX1,3,Broward Health Medical Center,Fort Lauderdale,FL,33316,USA,-80.1235592165474,26.0985105,zip_zcta
FLBC,LI,536,Liver,TX1,3,Broward Health Medical Center,Fort Lauderdale,FL,33316,USA,-80.1235592165474,26.0985105,zip_zcta
FLBF,KI,5,Kidney,TX1,3,Bert Fish Medical Center,New Smyrna Beach,FL,32168,USA,-81.0577820249006,28.9703695,zip_zcta
FLCC,HR,352,Heart,TX1,3,Cleveland Clinic Florida Weston,Weston,FL,33331,USA,-80.36986245132981,26.059748499999998,zip_zcta
FLCC,KI,3225,Kidney,TX1,3,Cleveland Clinic Florida Weston,Weston,FL,33331,USA,-80.36986245132981,26.059748499999998,zip_zcta
FLCC,LI,725,Liver,TX1,3,Cleveland Clinic Florida Weston,Weston,FL,33331,USA,-80.36986245132981,26.059748499999998,zip_zcta
FLFH,HR,575,Heart,TX1,3,AdventHealth Orlando,Orlando,FL,32803,USA,-81.34850307069289,28.555873,zip_zcta
FLFH,KI,4288,Kidney,TX1,3,AdventHealth Orlando,Orlando,FL,32803,USA,-81.34850307069289,28.555873,zip_zcta
FLFH,LI,1284,Liver,TX1,3,AdventHealth Orlando,Orlando,FL,32803,USA,-81.34850307069289,28.555873,zip_zcta
FLFH,LU,204,Lung,TX1,3,AdventHealth Orlando,Orlando,FL,32803,USA,-81.34850307069289,28.555873,zip_zcta
FLFR,KI,820,Kidney,TX1,3,Gulf Coast Medical Center,Ft Myers,FL,33912,USA,-81.83376661480017,26.5441565,zip_zcta
FLHM,KI,593,Kidney,TX1,3,Halifax Health,Daytona Beach,FL,32114,USA,-81.04669901581984,29.1911135,zip_zcta
FLJD,HR,118,Heart,TX1,3,Memorial Regional Hospital/Joe DiMaggio Children's Hospital,Hollywood,FL,33021,USA,-80.18773141581457,26.0206535,zip_zcta
FLJM,HR,640,Heart,TX1,3,Jackson Memorial Hospital University of Miami School of Medicine,Miami,FL,33136,USA,-80.20450081119941,25.7867225,zip_zcta
FLJM,KI,9441,Kidney,TX1,3,Jackson Memorial Hospital University of Miami School of Medicine,Miami,FL,33136,USA,-80.20450081119941,25.7867225,zip_zcta
FLJM,LI,3558,Liver,TX1,3,Jackson Memorial Hospital University of Miami School of Medicine,Miami,FL,33136,USA,-80.20450081119941,25.7867225,zip_zcta
FLJM,LU,433,Lung,TX1,3,Jackson Memorial Hospital University of Miami School of Medicine,Miami,FL,33136,USA,-80.20450081119941,25.7867225,zip_zcta
FLJT,KI,425,Kidney,TX1,3,Shands Jacksonville,Jacksonville,FL,32209,USA,-81.69283874120293,30.3611645,zip_zcta
FLLM,HR,95,Heart,TX1,3,Largo Medical Center,Largo,FL,33770,USA,-82.80949735107748,27.915886,zip_zcta
FLLM,KI,1054,Kidney,TX1,3,Largo Medical Center,Largo,FL,33770,USA,-82.80949735107748,27.915886,zip_zcta
FLLM,LI,168,Liver,TX1,3,Largo Medical Center,Largo,FL,33770,USA,-82.80949735107748,27.915886,zip_zcta
FLMR,HR,174,Heart,TX1,3,Memorial Regional Hospital,Hollywood,FL,33021,USA,-80.18773141581457,26.0206535,zip_zcta
FLMR,KI,1145,Kidney,TX1,3,Memorial Regional Hospital,Hollywood,FL,33021,USA,-80.18773141581457,26.0206535,zip_zcta
FLSH,KI,622,Kidney,TX1,3,Ascension Sacred Heart Pensacola,Pensacola,FL,32504,USA,-87.19157803932131,30.4804405,zip_zcta
FLSL,HR,720,Heart,TX1,3,Mayo Clinic Hospital Florida,Jacksonville,FL,32224,USA,-81.47767791061372,30.2654735,zip_zcta
FLSL,KI,6132,Kidney,TX1,3,Mayo Clinic Hospital Florida,Jacksonville,FL,32224,USA,-81.47767791061372,30.2654735,zip_zcta
FLSL,LI,3504,Liver,TX1,3,Mayo Clinic Hospital Florida,Jacksonville,FL,32224,USA,-81.47767791061372,30.2654735,zip_zcta
FLSL,LU,975,Lung,TX1,3,Mayo Clinic Hospital Florida,Jacksonville,FL,32224,USA,-81.47767791061372,30.2654735,zip_zcta
FLTG,HR,1057,Heart,TX1,3,Tampa General Hospital,Tampa,FL,33606,USA,-82.47838236331356,27.93164018847485,zip_zcta
FLTG,KI,7963,Kidney,TX1,3,Tampa General Hospital,Tampa,FL,33606,USA,-82.47838236331356,27.93164018847485,zip_zcta
FLTG,LI,2566,Liver,TX1,3,Tampa General Hospital,Tampa,FL,33606,USA,-82.47838236331356,27.93164018847485,zip_zcta
FLTG,LU,950,Lung,TX1,3,Tampa General Hospital,Tampa,FL,33606,USA,-82.47838236331356,27.93164018847485,zip_zcta
FLUF,HR,1011,Heart,TX1,3,UF Health Shands Hospital,Gainesville,FL,32610,USA,-82.34335586005983,29.640699,zip_zcta
FLUF,KI,4097,Kidney,TX1,3,UF Health Shands Hospital,Gainesville,FL,32610,USA,-82.34335586005983,29.640699,zip_zcta
FLUF,LI,1711,Liver,TX1,3,UF Health Shands Hospital,Gainesville,FL,32610,USA,-82.34335586005983,29.640699,zip_zcta
FLUF,LU,1105,Lung,TX1,3,UF Health Shands Hospital,Gainesville,FL,32610,USA,-82.34335586005983,29.640699,zip_zcta
GAEH,HR,349,Heart,TX1,3,Children’s Healthcare of Atlanta - Arthur M. Blank Hospital,Atlanta,GA,30329,USA,-84.32294021372988,33.827071000000004,zip_zcta
GAEH,KI,487,Kidney,TX1,3,Children’s Healthcare of Atlanta - Arthur M. Blank Hospital,Atlanta,GA,30329,USA,-84.32294021372988,33.827071000000004,zip_zcta
GAEH,LI,497,Liver,TX1,3,Children’s Healthcare of Atlanta - Arthur M. Blank Hospital,Atlanta,GA,30329,USA,-84.32294021372988,33.827071000000004,zip_zcta
GAEM,HR,924,Heart,TX1,3,Emory University Hospital,Atlanta,GA,30322,USA,-84.32435191426282,33.796176,zip_zcta
GAEM,KI,10761,Kidney,TX1,3,Emory University Hospital,Atlanta,GA,30322,USA,-84.32435191426282,33.796176,zip_zcta
GAEM,LI,2815,Liver,TX1,3,Emory University Hospital,Atlanta,GA,30322,USA,-84.32435191426282,33.796176,zip_zcta
GAEM,LU,590,Lung,TX1,3,Emory University Hospital,Atlanta,GA,30322,USA,-84.32435191426282,33.796176,zip_zcta
