Analysis,Model tier,Model type,Organ,Pollutant,N candidates,Adverse events,HR (95% CI),P value,Adjustment set
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Liver,Prior-year PM2.5 per 5 ug/m3,208592,42101,1.04 (1.01-1.07),0.005,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Liver,Prior-year NO2 per 10 ppb,208592,42101,0.98 (0.96-1.00),0.091,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Liver,Prior-year O3 per 10 ppb,208592,42101,1.02 (0.99-1.06),0.114,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Liver,Prior-year PM2.5 per 5 ug/m3,208591,42101,1.04 (1.02-1.07),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Liver,Prior-year O3 per 10 ppb,208591,42101,1.04 (1.02-1.07),0.003,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Liver,Prior-year NO2 per 10 ppb,222557,42847,1.01 (0.99-1.03),0.341,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Liver,Prior-year PM2.5 per 5 ug/m3,208591,42101,1.06 (1.03-1.08),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Liver,Prior-year NO2 per 10 ppb,208591,42101,0.98 (0.96-1.00),0.078,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Liver,Prior-year PM2.5 per 5 ug/m3,208591,42101,1.05 (1.02-1.08),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Liver,Prior-year NO2 per 10 ppb,208591,42101,0.99 (0.97-1.02),0.545,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Liver,Prior-year O3 per 10 ppb,208591,42101,1.04 (1.01-1.07),0.008,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant PM2.5,Lung,Prior-year PM2.5 per 5 ug/m3,46843,5588,1.11 (1.06-1.17),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant O3,Lung,Prior-year O3 per 10 ppb,46843,5588,0.97 (0.91-1.03),0.329,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant NO2,Lung,Prior-year NO2 per 10 ppb,50458,5681,1.15 (1.11-1.21),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,Lung,Prior-year PM2.5 per 5 ug/m3,46843,5588,1.04 (0.98-1.10),0.253,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,Lung,Prior-year NO2 per 10 ppb,46843,5588,1.12 (1.07-1.18),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Lung,Prior-year PM2.5 per 5 ug/m3,46843,5588,1.05 (0.98-1.11),0.173,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Lung,Prior-year NO2 per 10 ppb,46843,5588,1.12 (1.06-1.18),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Lung,Prior-year O3 per 10 ppb,46843,5588,0.97 (0.91-1.04),0.419,None
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Lung,Prior-year PM2.5 per 5 ug/m3,46788,5582,1.15 (1.08-1.23),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Lung,Prior-year O3 per 10 ppb,46788,5582,0.97 (0.89-1.06),0.483,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Lung,Prior-year NO2 per 10 ppb,50401,5675,1.13 (1.08-1.19),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Lung,Prior-year PM2.5 per 5 ug/m3,46788,5582,1.09 (1.01-1.18),0.026,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Lung,Prior-year NO2 per 10 ppb,46788,5582,1.08 (1.02-1.14),0.014,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Lung,Prior-year PM2.5 per 5 ug/m3,46788,5582,1.09 (1.01-1.18),0.030,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Lung,Prior-year NO2 per 10 ppb,46788,5582,1.08 (1.01-1.15),0.020,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Lung,Prior-year O3 per 10 ppb,46788,5582,1.00 (0.92-1.09),0.975,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Lung,Prior-year PM2.5 per 5 ug/m3,46788,5582,1.48 (1.38-1.58),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Lung,Prior-year O3 per 10 ppb,46788,5582,1.01 (0.93-1.10),0.789,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Lung,Prior-year NO2 per 10 ppb,50401,5675,1.34 (1.27-1.41),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Lung,Prior-year PM2.5 per 5 ug/m3,46788,5582,1.34 (1.24-1.44),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Lung,Prior-year NO2 per 10 ppb,46788,5582,1.18 (1.11-1.25),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Lung,Prior-year PM2.5 per 5 ug/m3,46788,5582,1.32 (1.22-1.43),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Lung,Prior-year NO2 per 10 ppb,46788,5582,1.20 (1.12-1.28),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Lung,Prior-year O3 per 10 ppb,46788,5582,1.08 (0.99-1.19),0.080,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
