Analysis,Model tier,Model type,Organ,Term,Term type,Exposure label,N candidates,Adverse events,Coefficient (95% CI),HR (95% CI),P value,Adjustment set
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Heart,zcta_svi_proxy,covariate,,74028,10010,0.1671 (0.0513 to 0.2830),1.18 (1.05-1.33),0.005,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Heart,organ_score,organ_severity,,74028,10010,0.1612 (0.1445 to 0.1779),1.17 (1.16-1.19),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Heart,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,79381,10242,0.2376 (0.1977 to 0.2774),1.27 (1.22-1.32),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Heart,age,covariate,,79381,10242,0.0033 (0.0018 to 0.0047),1.00 (1.00-1.00),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Heart,sexM,covariate,,79381,10242,-0.0133 (-0.0583 to 0.0316),0.99 (0.94-1.03),0.562,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Heart,raceBLACK,covariate,,79381,10242,-0.1612 (-0.2897 to -0.0326),0.85 (0.75-0.97),0.014,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Heart,raceMULTI,covariate,,79381,10242,-0.0779 (-0.3403 to 0.1846),0.93 (0.71-1.20),0.561,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Heart,raceMissing,covariate,,79381,10242,-0.1243 (-0.6171 to 0.3686),0.88 (0.54-1.45),0.621,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Heart,raceNATIVE,covariate,,79381,10242,0.2517 (-0.0460 to 0.5493),1.29 (0.96-1.73),0.097,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Heart,racePACIFIC,covariate,,79381,10242,0.0621 (-0.3365 to 0.4607),1.06 (0.71-1.59),0.760,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
