Analysis,Model tier,Model type,Organ,Term,Term type,Exposure label,N candidates,Adverse events,Coefficient (95% CI),HR (95% CI),P value,Adjustment set
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Liver,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,222559,42847,-0.0031 (-0.0207 to 0.0145),1.00 (0.98-1.01),0.728,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Liver,age,covariate,,222559,42847,0.0229 (0.0219 to 0.0238),1.02 (1.02-1.02),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Liver,sexM,covariate,,222559,42847,-0.0950 (-0.1146 to -0.0754),0.91 (0.89-0.93),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Liver,raceBLACK,covariate,,222559,42847,0.2298 (0.1706 to 0.2890),1.26 (1.19-1.34),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Liver,raceMULTI,covariate,,222559,42847,0.1146 (-0.0413 to 0.2705),1.12 (0.96-1.31),0.150,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Liver,raceMissing,covariate,,222559,42847,0.3833 (0.1580 to 0.6085),1.47 (1.17-1.84),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Liver,raceNATIVE,covariate,,222559,42847,0.2790 (0.1693 to 0.3887),1.32 (1.18-1.48),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Liver,racePACIFIC,covariate,,222559,42847,0.2556 (0.0054 to 0.5058),1.29 (1.01-1.66),0.045,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Liver,raceWHITE,covariate,,222559,42847,0.1574 (0.1080 to 0.2068),1.17 (1.11-1.23),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Liver,zcta_svi_proxy,covariate,,222559,42847,0.3450 (0.2892 to 0.4008),1.41 (1.34-1.49),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Liver,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,208592,42101,0.0435 (0.0166 to 0.0704),1.04 (1.02-1.07),0.002,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Liver,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,208592,42101,-0.0267 (-0.0479 to -0.0055),0.97 (0.95-0.99),0.014,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Liver,age,covariate,,208592,42101,0.0236 (0.0226 to 0.0245),1.02 (1.02-1.02),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Liver,sexM,covariate,,208592,42101,-0.0957 (-0.1155 to -0.0760),0.91 (0.89-0.93),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Liver,raceBLACK,covariate,,208592,42101,0.2296 (0.1698 to 0.2893),1.26 (1.19-1.34),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Liver,raceMULTI,covariate,,208592,42101,0.1188 (-0.0384 to 0.2761),1.13 (0.96-1.32),0.139,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Liver,raceMissing,covariate,,208592,42101,0.4188 (0.1544 to 0.6833),1.52 (1.17-1.98),0.002,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Liver,raceNATIVE,covariate,,208592,42101,0.2907 (0.1800 to 0.4015),1.34 (1.20-1.49),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Liver,racePACIFIC,covariate,,208592,42101,0.2655 (0.0133 to 0.5176),1.30 (1.01-1.68),0.039,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Liver,raceWHITE,covariate,,208592,42101,0.1550 (0.1051 to 0.2048),1.17 (1.11-1.23),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Liver,zcta_svi_proxy,covariate,,208592,42101,0.3509 (0.2947 to 0.4072),1.42 (1.34-1.50),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Liver,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,208592,42101,0.0393 (0.0118 to 0.0667),1.04 (1.01-1.07),0.005,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Liver,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,208592,42101,-0.0197 (-0.0426 to 0.0031),0.98 (0.96-1.00),0.091,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Liver,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,208592,42101,0.0246 (-0.0059 to 0.0552),1.02 (0.99-1.06),0.114,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Liver,age,covariate,,208592,42101,0.0236 (0.0226 to 0.0245),1.02 (1.02-1.02),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Liver,sexM,covariate,,208592,42101,-0.0958 (-0.1155 to -0.0760),0.91 (0.89-0.93),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Liver,raceBLACK,covariate,,208592,42101,0.2275 (0.1677 to 0.2873),1.26 (1.18-1.33),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Liver,raceMULTI,covariate,,208592,42101,0.1169 (-0.0404 to 0.2742),1.12 (0.96-1.32),0.145,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Liver,raceMissing,covariate,,208592,42101,0.4159 (0.1515 to 0.6804),1.52 (1.16-1.97),0.002,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Liver,raceNATIVE,covariate,,208592,42101,0.2877 (0.1769 to 0.3985),1.33 (1.19-1.49),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Liver,racePACIFIC,covariate,,208592,42101,0.2661 (0.0140 to 0.5183),1.30 (1.01-1.68),0.039,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Liver,raceWHITE,covariate,,208592,42101,0.1525 (0.1026 to 0.2024),1.16 (1.11-1.22),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Liver,zcta_svi_proxy,covariate,,208592,42101,0.3531 (0.2968 to 0.4094),1.42 (1.35-1.51),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Liver,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,208591,42101,0.0412 (0.0186 to 0.0638),1.04 (1.02-1.07),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Liver,age,covariate,,208591,42101,0.0375 (0.0365 to 0.0385),1.04 (1.04-1.04),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Liver,sexM,covariate,,208591,42101,-0.0642 (-0.0839 to -0.0444),0.94 (0.92-0.96),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Liver,raceBLACK,covariate,,208591,42101,0.0236 (-0.0362 to 0.0835),1.02 (0.96-1.09),0.439,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Liver,raceMULTI,covariate,,208591,42101,-0.0984 (-0.2565 to 0.0596),0.91 (0.77-1.06),0.222,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Liver,raceMissing,covariate,,208591,42101,0.3062 (0.0419 to 0.5705),1.36 (1.04-1.77),0.023,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Liver,raceNATIVE,covariate,,208591,42101,0.1516 (0.0406 to 0.2626),1.16 (1.04-1.30),0.007,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Liver,racePACIFIC,covariate,,208591,42101,0.1179 (-0.1343 to 0.3702),1.13 (0.87-1.45),0.360,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Liver,raceWHITE,covariate,,208591,42101,0.0782 (0.0285 to 0.1280),1.08 (1.03-1.14),0.002,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Liver,zcta_svi_proxy,covariate,,208591,42101,0.3224 (0.2671 to 0.3777),1.38 (1.31-1.46),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Liver,organ_score,organ_severity,,208591,42101,0.1008 (0.0996 to 0.1021),1.11 (1.10-1.11),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Liver,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,208591,42101,0.0435 (0.0153 to 0.0718),1.04 (1.02-1.07),0.003,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Liver,age,covariate,,208591,42101,0.0374 (0.0364 to 0.0384),1.04 (1.04-1.04),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Liver,sexM,covariate,,208591,42101,-0.0633 (-0.0831 to -0.0435),0.94 (0.92-0.96),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Liver,raceBLACK,covariate,,208591,42101,0.0195 (-0.0404 to 0.0794),1.02 (0.96-1.08),0.523,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Liver,raceMULTI,covariate,,208591,42101,-0.1058 (-0.2639 to 0.0523),0.90 (0.77-1.05),0.190,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Liver,raceMissing,covariate,,208591,42101,0.2868 (0.0225 to 0.5511),1.33 (1.02-1.74),0.033,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Liver,raceNATIVE,covariate,,208591,42101,0.1318 (0.0207 to 0.2429),1.14 (1.02-1.27),0.020,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Liver,racePACIFIC,covariate,,208591,42101,0.1144 (-0.1379 to 0.3666),1.12 (0.87-1.44),0.374,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Liver,raceWHITE,covariate,,208591,42101,0.0699 (0.0200 to 0.1198),1.07 (1.02-1.13),0.006,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Liver,zcta_svi_proxy,covariate,,208591,42101,0.3445 (0.2892 to 0.3998),1.41 (1.34-1.49),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Liver,organ_score,organ_severity,,208591,42101,0.1009 (0.0996 to 0.1021),1.11 (1.10-1.11),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Liver,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,222557,42847,0.0086 (-0.0091 to 0.0262),1.01 (0.99-1.03),0.341,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Liver,age,covariate,,222557,42847,0.0371 (0.0361 to 0.0381),1.04 (1.04-1.04),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Liver,sexM,covariate,,222557,42847,-0.0625 (-0.0821 to -0.0429),0.94 (0.92-0.96),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Liver,raceBLACK,covariate,,222557,42847,0.0190 (-0.0404 to 0.0783),1.02 (0.96-1.08),0.531,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Liver,raceMULTI,covariate,,222557,42847,-0.1094 (-0.2662 to 0.0473),0.90 (0.77-1.05),0.171,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Liver,raceMissing,covariate,,222557,42847,0.2617 (0.0364 to 0.4869),1.30 (1.04-1.63),0.023,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Liver,raceNATIVE,covariate,,222557,42847,0.1292 (0.0190 to 0.2394),1.14 (1.02-1.27),0.022,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Liver,racePACIFIC,covariate,,222557,42847,0.1066 (-0.1437 to 0.3569),1.11 (0.87-1.43),0.404,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Liver,raceWHITE,covariate,,222557,42847,0.0762 (0.0267 to 0.1256),1.08 (1.03-1.13),0.003,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Liver,zcta_svi_proxy,covariate,,222557,42847,0.3276 (0.2718 to 0.3834),1.39 (1.31-1.47),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Liver,organ_score,organ_severity,,222557,42847,0.1020 (0.1008 to 0.1033),1.11 (1.11-1.11),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Liver,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,208591,42101,0.0545 (0.0276 to 0.0814),1.06 (1.03-1.08),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Liver,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,208591,42101,-0.0191 (-0.0403 to 0.0021),0.98 (0.96-1.00),0.078,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Liver,age,covariate,,208591,42101,0.0375 (0.0365 to 0.0385),1.04 (1.04-1.04),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Liver,sexM,covariate,,208591,42101,-0.0638 (-0.0836 to -0.0440),0.94 (0.92-0.96),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Liver,raceBLACK,covariate,,208591,42101,0.0235 (-0.0363 to 0.0834),1.02 (0.96-1.09),0.441,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Liver,raceMULTI,covariate,,208591,42101,-0.1019 (-0.2600 to 0.0562),0.90 (0.77-1.06),0.207,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Liver,raceMissing,covariate,,208591,42101,0.2984 (0.0339 to 0.5628),1.35 (1.03-1.76),0.027,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Liver,raceNATIVE,covariate,,208591,42101,0.1445 (0.0332 to 0.2558),1.16 (1.03-1.29),0.011,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Liver,racePACIFIC,covariate,,208591,42101,0.1155 (-0.1368 to 0.3677),1.12 (0.87-1.44),0.370,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Liver,raceWHITE,covariate,,208591,42101,0.0748 (0.0249 to 0.1247),1.08 (1.03-1.13),0.003,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Liver,zcta_svi_proxy,covariate,,208591,42101,0.3315 (0.2753 to 0.3877),1.39 (1.32-1.47),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Liver,organ_score,organ_severity,,208591,42101,0.1008 (0.0996 to 0.1021),1.11 (1.10-1.11),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Liver,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,208591,42101,0.0472 (0.0198 to 0.0747),1.05 (1.02-1.08),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Liver,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,208591,42101,-0.0071 (-0.0301 to 0.0159),0.99 (0.97-1.02),0.545,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Liver,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,208591,42101,0.0416 (0.0110 to 0.0722),1.04 (1.01-1.07),0.008,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Liver,age,covariate,,208591,42101,0.0375 (0.0365 to 0.0385),1.04 (1.04-1.04),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Liver,sexM,covariate,,208591,42101,-0.0638 (-0.0836 to -0.0441),0.94 (0.92-0.96),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Liver,raceBLACK,covariate,,208591,42101,0.0202 (-0.0396 to 0.0801),1.02 (0.96-1.08),0.508,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Liver,raceMULTI,covariate,,208591,42101,-0.1055 (-0.2636 to 0.0527),0.90 (0.77-1.05),0.191,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Liver,raceMissing,covariate,,208591,42101,0.2940 (0.0295 to 0.5585),1.34 (1.03-1.75),0.029,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Liver,raceNATIVE,covariate,,208591,42101,0.1394 (0.0281 to 0.2508),1.15 (1.03-1.29),0.014,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Liver,racePACIFIC,covariate,,208591,42101,0.1173 (-0.1350 to 0.3696),1.12 (0.87-1.45),0.362,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Liver,raceWHITE,covariate,,208591,42101,0.0709 (0.0209 to 0.1208),1.07 (1.02-1.13),0.005,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Liver,zcta_svi_proxy,covariate,,208591,42101,0.3347 (0.2785 to 0.3910),1.40 (1.32-1.48),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Liver,organ_score,organ_severity,,208591,42101,0.1009 (0.0996 to 0.1021),1.11 (1.10-1.11),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant PM2.5,Lung,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,46843,5588,0.1041 (0.0537 to 0.1546),1.11 (1.06-1.17),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant O3,Lung,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,46843,5588,-0.0306 (-0.0922 to 0.0309),0.97 (0.91-1.03),0.329,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant NO2,Lung,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,50458,5681,0.1436 (0.1002 to 0.1870),1.15 (1.11-1.21),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,Lung,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,46843,5588,0.0345 (-0.0247 to 0.0937),1.04 (0.98-1.10),0.253,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,Lung,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,46843,5588,0.1169 (0.0653 to 0.1684),1.12 (1.07-1.18),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Lung,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,46843,5588,0.0443 (-0.0195 to 0.1081),1.05 (0.98-1.11),0.173,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Lung,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,46843,5588,0.1101 (0.0560 to 0.1641),1.12 (1.06-1.18),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Lung,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,46843,5588,-0.0272 (-0.0931 to 0.0387),0.97 (0.91-1.04),0.419,None
